nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing,label
11,@kim_aliya7729,2023-09-19T12:03:16Z,Pengedarnya di suapin sabu dulu tuh  yang banyak sebelum sabunya di bakar biar ngerasain kasian jualan mulu anak orang jadi korban mulu,peedar suapin sabu sabu bakar biar ngerasain kasi jual mulu anak korban mulu,negative
12,@hermannurdin2779,2023-09-12T22:56:49Z,"Kepolisian Republik Indonesia,walau tak luput dari kekurangan nya.Namun banyak sekali hasil perjuangan nya yang menyumbangkan hasil kenegara,salut nya angota²bukkam satu suara.tidak koar² perperson sampai ada yang memelesetkan NKRI negara kepolisian RI. Maju terus Polri Mantab",polisi republik indonesia luput kurang hasil juang sumbang hasil negara salut angota bukkam suara koar person meleset nkri negara polisi maju polri mantab,positive
13,@nanosutresno5031,2023-09-18T06:43:21Z,"Bandar dan pengedar narkoba sebaiknya dihukum mati saja, perang secara sistematis, tidak usah menggunakan mesin perang canggih. Sadar apa tidak ya?",bandar peedar narkoba hukum mati perang sistematis mesin perang canggih sadar,negative
14,@juandiandi6861,2023-09-19T06:14:53Z,"Sa.pae polsek pak jngan hnta yang di atas ssja  yang  onggota nya sja bekingi narkoba,  namun di introgasi di tengah jalan  blalu buat langganan si pelaku narkobanya   ga smpae di meja hijokan  biar oelaku main lgi tangkap lgi dan duit lagi  KENAPA TDK BANDAR UTAMA NYA SI KOK BOLAK BALIK TANGKAP KROCONYA,",pae polsek jngan hnta ssja onggota sja beking narkoba introgasi tengah jalan blalu langgan laku narkoba tidak smpae meja hijokan biar oelaku main lagi tangkap lagi duit tidak bandar utama bolak tangkap kroco,negative
15,@hasman5933,2023-09-13T08:15:11Z,"Banyak aparat polisi yg berusaha manangkap perusak negara, tapi banyak juga aparat polisi yg melindungi dan bergabung dengan perusak negara, kami rakyat bangga dengan aparat polisi yg bisa menangkap perusak negara, kami mohon pada aparat polisi <a href=""https://www.youtube.com/watch?v=PO1IloHn1pk&amp;t=6m05s"">6:05</a> jangan nantinya perusak negara yg tertangkap, ujung2nya bebas🤭🤭🤭",aparat polisi usaha manangkap usak negara aparat polisi lindung gabung usak negara rakyat bangga aparat polisi tangkap usak negara aparat polisi usak negara tangkap bebas,negative
16,@lajama3514,2023-09-15T06:14:38Z,"mungkin menangkap Narkoba ini akan Di pindah tugaskan lagi, seperti  yg di tangkap Petinggi Polri,, pdhl mereka see harus di kasi Lencana, mlhan di pindahkan..",tangkap narkoba pindah tugas tangkap petinggi polri see kasi lencana mlhan pindah,negative
17,@muhajirse2253,2023-09-12T22:50:22Z,"maaf klw hukum masi seperti yg lalu&quot;&quot; sda pasti mereka atw bndar&quot;&quot;, pengedar and pengguna masi maw berbuat berikn hukuman yg bisa memutuskn mata rantai peredarn narkoba yani hukuman MAAATIII gk terkecuali baik bandar, pengedar maupun pengguna knp demikian sama halnya ada pasar sda pasti ada penjual and pembeli mhon beri hukumn MAATIII",maaf klw hukum mas sda bndar peedar and guna mas maw buat berikn hukum memutuskn rantai peredarn narkoba yani hukum maaatiii tidak kecuali bandar peedar guna kenapa hal pasar sda jual and beli mhon hukumn maatiii,negative
18,@salmanjawi3854,2023-09-13T04:39:17Z,"Sindikat 10,5 Triliun😱? Mana suaranya yg teriak²: habaib, arab yaman, antek² penjajah, budak yaman? 🤬🤬🤬",sindikat triliun suara teriak habaib arab yaman antek jajah budak yaman,negative
19,@andiphone785,2023-09-16T04:35:25Z,Alah ujung-ujungnya polisi juga tuu orang dalamnya taulah di Konoha ini banyak kali tikus nya dan pkinya kalo kasusnya kayak gini cepat kali tapi kalo kasus Rempang ditutup-tutupi apa kayak gitu gak guna ada polisi dan presidennya samasama kotor dan rakus kekuasaan,alah ujung ujung polisi tuu dalam tau konoha tikus pki kasus kayak gin cepat rempang tutup tutup kayak gitu gak polisi presiden samasama kotor rakus kuasa,negative
20,@redme9988,2023-09-12T22:28:42Z,Udah muakkkk mau comment mafianya disitu semua mau baju apa dipakainya semuanya sama aja lama2 mau Dari luar negeri atau pun warga ngak kira dinegara mana juga dah mulai muakkkk tengok berita Indonesia nanti hujung2 polisi dalang nya hujung2 mafianya kayak kasus teddy minahasa hujung2 polisi juga alaaaa udah tv one ngak usah dnaikkan lah buat jadi dosa aja kalau dkritik ...,sudah muakkkk comment mafia situ baju pakai aja lama negeri warga ngak negara muakkkk tengok berita indonesia hujung polisi dalang hujung mafia kayak teddy minahasa hujung polisi alaaaa sudah one ngak dnaikkan dosa aja dkritik,negative
21,@Officialtranslater-yg3ng,2023-09-16T08:30:20Z,TIDAK BUTUH BERBULAN2 DI LAUT CINA SELATAN MENANGKAP GEMBONG. TERNYATA MEREKA ENAK2 BERKOORDINASI DARI HOTEL. HEDEH,butuh berbulan laut cina selatan tangkap gembong enak koordinasi hotel hedeh,negative
22,@robinavis8,2023-09-14T07:42:32Z,"Jaringan internasional .. Bisa bertahan lama, pasti ada oknum aparat yg melindunginya ! Jika dilihat nominal aset yg tertera .. Fantastis ! Selamat atas prestasi, atas kasus peredaran narkoba terbesar .",jaring internasional tahan oknum aparat lindung nominal aset tera fantastis selamat prestasi edar narkoba besar,negative
23,@sukirmanherisiswanto7810,2023-09-29T06:30:50Z,Masukkan saja satu gedung bandar narkoba sama para koruptor baru di boom ini yang menghancurkan negara Dan generasi mudah Indonesia,masuk gedung bandar narkoba koruptor boom hancur negara generasi mudah indonesia,negative
24,@veronikalumbangaol7646,2023-09-13T01:18:26Z,Sngan cuman narkoba donk pak polisi musnakan juga judi online yg bikin resah dalam berrumah tangga pak polisi,sngan cuman narkoba polisi musnakan judi online bikin resah rumah tangga polisi,negative
25,@faiz3816,2023-09-16T09:22:14Z,"Sita asetnya hukum seberat2nya untuk semua yg terlibat, apalagi kalo ada oknum aparat yg seharusnya mencegah kejahatan ko malah jadi fasilitator itu sudah pantas di hukum  mati",sita aset hukum libat oknum aparat cegah jahat fasilitator hukum mati,negative
26,@user-fc6gh2nc5k,2023-09-25T09:55:01Z,"Keberhasilan Polisi menangkap Narkoba  terbesar di Indonesia adalah keberhasilan Negara, untuk mengamankan generasi muda dari bahaya narkoba, saat ini polisi di angkat Jempol, kemudian Polisi ada di Kecamatan, dan sekarang nakoba sudah menyebar sampai tingkat kecamatan.HATI2.",hasil polisi tangkap narkoba besar indonesia hasil negara aman generasi muda bahaya narkoba polisi angkat jempol polisi camat nakoba sebar tingkat camat hati,positive
27,@aleshafashion8893,2023-09-13T10:33:42Z,"sita semua hartanya kembalikan ke negara biar negara kita kaya raya,yg cari duit di gantung keren tenan ki",sita harta kembali negara biar negara kaya raya cari duit gantung keren tenan,negative
28,@fitrirengganis7066,2023-09-16T05:04:21Z,"Barang Buktinya harus diambil negara, masyarakat, media Dan Kam harus kawa barang bukti.. Jgn sampai Di ciri oleh oknum2 tertentu",barang bukti ambil negara masyarakat media kam kawa barang bukti jangan ciri oknum,negative
29,@shelmanz090,2023-09-14T18:11:10Z,SEBENARNYA INI PEKERJAAN ASLI APARAT YANG KAYA KAYA DEMI DIRI SNDRI.. MASUKNYA NARKOBA DRI LUAR NEGRI ITU PASTI A1 ADA BEKENG APARAT PEMEGANG HUKUM. KLO BISA HUKUM MATI DAN TERUS BERSIHKAN SMPAI AKAR AKARNYA. PANTASAN ADA TERUS DI INDONESIA GK HABIS HABIS PADAHAL TAHUN KETAHUN SELALU DITANGKEPIN. TERNYATA EMNG TERNYATA KERJAANYA OKNUM ABDI NEGARA. SANGAT HINA.,kerja asli aparat kaya kaya masuk narkoba negri bekeng aparat pegang hukum hukum mati sih smpai akar akar pantas indonesia tidak habis habis tahun tahun ditangkepin memang kerjaa oknum abdi negara hina,negative
30,@zulkarnainponti3920,2023-09-15T19:37:49Z,"Polisi ungkap jaringan narkoba internasional Rp 10,5 triliun. Suatu kemajuan Bareskim  dalam pemberantasan narkoba bekerja sama dgn Thailand dan Malaysia. Dengan berhasilnya pemberantasan narkoba, yg dilakukan kepolisian , sy aturkan penghargaan. Semoga untuk pemberantasan kasus narkoba lainya juga dapat diungkap dan dibrantas sampai ke akar2 nya. / Zulkarnaen,SH.",polisi jaring narkoba internasional triliun maju bareskim berantas narkoba dengan thailand malaysia hasil berantas narkoba polisi saya atur harga moga berantas narkoba lai ungkap dibrantas akar zulkarnaen,positive
31,@rantinislauhni3564,2023-09-13T01:30:23Z,Wihh..&quot;orang Arab&quot; lg yang merusak dan menghancurkan bangsa..hukum mati nih semua..para bedebah penghancur Bangsa,wihh arab lagi rusak hancur bangsa hukum mati bedebah hancur bangsa,negative
32,@RONGGO01,2023-09-15T23:20:27Z,KLU PENGEDAR HARTA KEKAYAANNYA DI SITA NEGARA TAPI KNPA POLISI TIDK BERANI MENYITA HARTA PARA KORUPTOR,kalau peedar harta kaya sita negara kenapa polisi tidk berani sita harta koruptor,negative
33,@endangkuswara7477,2023-09-19T12:23:06Z,"Itulah  akibat pejabat&quot; era sekarang berkiblat ke cina ,segala di halalkan generasi muda mau di hancurkan oleh narkoba ,musnahkan kezoliman&quot; dan penzolim&quot; nya ,Allah bersama kita Amiiin YRA.",akibat jabat era kiblat cina halal generasi muda hancur narkoba musnah kezoliman penzolim amiiin yra,negative
34,@oeylany5928,2023-09-19T15:05:50Z,HEBAT  POLISI BER KERJA  SM  DENGAN KEPOLISIAN TAILAN  MALASIA  INDONESIA  HEBAT  KERJA  SAMA  YANG  BAIK  UNTUK BERANTAS  B D  NARKOBA TER BESAR  MASARAKAT  BER TRIMA KASI KEPADA BP  BP YANG BRANTAS BANDAR NARKOBA TER BESAR   DIA MERUSAK GENERASI   MUDA,hebat polisi ber polisi tailan malasia indonesia hebat berantas narkoba ter masarakat ber terima kasi berantas bandar narkoba ter rusak generasi muda,positive
35,@angelika7748,2023-09-13T05:04:56Z,"Ini baru benar 👍 bukan nya masyarakat kecil yg ditangkap, karna masyarakat adalah korban kekejaman mereka. Klu sindikat nya gak disikat sampai tuntas, masyarakat takkan pernah sembuh bahkan tidak menutup kemungkinan akan ada kota zombie jg di indonesia ky yg di viladelvia. Sangat memprihatinkan.",masyarakat tangkap karena masyarakat korban kejam kalau sindikat gak sikat tuntas masyarakat tak sembuh tutup kota zombie juga indonesia viladelvia prihatin,negative
36,@mulyadiyadi9435,2023-09-13T10:19:36Z,Warga mana tuh dulu sistem eksekusi bilang nya melanggar ham menghacurnkan generasi muda khuhsnya anak indonesia tidak melabggar ham jadi ham itu betul betul hak semau gue,warga sistem eksekusi bilang langgar ham menghacurnkan generasi muda khuhs anak indonesia melabggar ham ham hak mau saya,negative
37,@RizkyyAr,2023-09-13T01:34:36Z,"Mantaf Pak ,<br>tpi biar lebih Mantaf, Kota TanjungBalai Wajib juga sebagai target Oprasi Pemberantasan NARKOBA.<br>kerna kota tanjungbalai ini pintu peredaran narkoba dari luar negeri, Dan dsni jga bnyak bandar bandar besar narkoba.",mantaf tpi biar mantaf kota tanjungbalai wajib target oprasi berantas narkoba kerna kota tanjungbalai pintu edar narkoba negeri dsni juga banyak bandar bandar narkoba,positive
38,@aniscrypto0132,2023-09-13T08:51:08Z,"beh kasus  kok  bgn  aja narkoba, korupsi, pejabat nikah siri dll ngenes bgt indonesia",beh bgn aja narkoba korupsi jabat nikah siri ngenes sangat indonesia,negative
39,@fatmahmachmud3163,2023-09-19T04:38:46Z,Stuju pa pol pengedar Narkoba n Koruptor dkasi hukuman brt n dimiskinkan sdh lm masyarakat Indonesia memintax tapi pmerintah blm mau melakdanakanx,stuju pol peedar narkoba koruptor dkasi hukum brt miskin sudah masyarakat indonesia memintax pmerintah blm melakdanakanx,negative
40,@user-lb6rq6sj6t,2023-09-19T05:57:38Z,Nah itu seharusnya yg d tembak mati...<br>Karena sudah merusak masa depan anak bangsa...<br>Kenapa begal sama sama ke akalan remaja GK babak belur pasti d tembak kaki...<br>Tolong pakapolri hukum di negara kita jangan sampai rakyat kita sudut pandang nya sebelah mata...,tembak mati rusak anak bangsa begal akal remaja tidak babak bur tembak kaki tolong pakapolri hukum negara rakyat sudut pandang belah,negative
41,@solahudinhz7539,2023-09-12T23:17:04Z,"Semoga meteka yg di tangkap di hukum Mati, lalu dlm wkt berjalan Hukum Nya di Discount,  jd seumur Hidup, kmudian di anggap berklakuan baik. Lalu di Diacount lg hukuman nya. Dan akhir ny bebas kyk si Rambo",moga meteka tangkap hukum mati dalam waktu jalan hukum discount umur hidup kemudian anggap laku diacount lagi hukum bebas rambo,negative
42,@pantangmundur7295,2023-09-12T23:58:17Z,"Mending di bebaskan seperti di belanda,buat bangun negara negara yg kelola,dari pada ngutang ke cina...tapi rakyat se indonesia yg kena,bahkan bayi yg baru lahir saja sudah di bebani hutang yg tidAK TAU APA²<br>negara punya penghasilan besa karna di Filadelfia juga yg suka make saja beli orang yg ga suka biasa aja lewat lalu lalang",mending bebas belanda bangun negara negara kelola ngutang cina rakyat indonesia bayi lahir beban hutang tau negara hasil besa karena filadelfia suka make beli tidak suka aja lalang,negative
43,@ImamSubekti-lc5nr,2023-09-14T23:30:24Z,Apresiasi pd POLRI pd kasus  terbesar ini. buat pelaku hukuman berat dan jangan main main lagi.sita smua aset tetap /tdk tetap setahkan ke NEGARA buat mbayar UTANG NEGARA (ingt setiap bayi di 62 ini trbbani 40jt..gerung) Musnahkan BB NARKOBA awasi  jgn ada main main.,apresiasi polri besar laku hukum berat main main sita semua aset tidak setahkan negara mbayar utang negara ingt bayi trbbani gerung musnah narkoba awas jangan main main,positive
44,@HardrockMobile,2023-09-19T11:45:34Z,"Mau lihat komen komen orang yang bilang polisi cuma urusin kasus bokep, jangan jangan yang ngomong gitu para pemakai narkoba chuakzzzz, malu SDM rendah",komen komen bilang polisi urusin bokep ngomong gitu pakai narkoba chuakzzzz malu sdm rendah,positive
45,@user-om4bc8dg9u,2023-09-19T10:35:01Z,Saya Pribadi mengucapkan banyak Terimakasih kepada Pak Polisi dan Semua Aparat yang telah berjaya dan Sukses menangkap Narkoba...<br>Semoga Bapak² dan kelrga Baik dan Sehat didalam Lindungan Allah SWT... Aamiinnn.,pribadi terimakasih polisi aparat jaya sukses tangkap narkoba moga kelrga sehat dalam lindung swt aamiinnn,positive
46,@horassihombing7675,2023-09-13T01:03:34Z,❤❤mantap pak polisi narcoba perusak bangsa Indonesia consume nnya bukan produsernya  tentu merusak negara kita  menguntungkan negara yang menjualnya,mantap polisi narkoba usak bangsa indonesia consume produser rusak negara untung negara jual,positive
47,@kanjengbabe2089,2023-09-17T14:38:28Z,"Biyuh trs apa hukumannya kalau sdh sebesar itu, pengedar kecil aja kena hukuman berat, ini capai 10 Trilyun. Cuman disita uang dan asetnya biar ga bisa jualan lagi hukumannya pak ?. Duhhh....",biyuh terus hukum sudah peedar aja hukum berat capai trilyun cuman sita uang aset biar tidak jual hukum duhhh,negative
48,@user-xi9mf2dq6i,2023-11-11T18:00:59Z,"Uangnya bisa buat bayarin utang Indonesia dan beli persenjataan negara kita untuk pertahanan, mungkin kalau kau jual racun itu tak di Indonesia lagi aku set7 dan kau bantu lah perkuat negrimu sendiri",uang bayarin utang indonesia beli senjata negara tahan kau jual racun indonesia set kau bantu kuat negrimu,negative
49,@bobbyharyanto8745,2023-09-13T03:06:36Z,Woi barang bukti nya di pantau terus..takut nya di tilep lagi .duit nya di bagi dong ke rakyat indonesia..perbaiki jln rusak ..buatin penerangan lampu jln di desa desa..pokok nya buat rakyat dah..tapi mimpi doang she .yg ada cuma di mkn sendiri ..BB nya di bagi segelintir mereka doang😂😂😂,woi barang bukti pantau takut tilep duit rakyat indonesia baik jln rusak buatin terang lampu jln desa desa pokok rakyat mimpi doang she mkn gelintir doang,negative
50,@cahtegalngapak2064,2023-09-13T02:06:57Z,"Semoga segera terungkap semua sampai ke akar akarnya,,, seperti china dong ketegasanya, jangan di sogok duit terus diam permasalahan hilang, korupsi juga harus di tindak tegas dong.",moga ungkap akar akar china ketegasa sogok duit diam masalah hilang korupsi tindak,positive
51,@wandakim1253,2023-09-18T11:03:51Z,betul disita kekayaannya dan hrs dimiskinkan jgn takut Polisi hrs tegas untuk membela negara dan masa dpn anak2 muda  penerus bangsa n negara,sita kaya harus miskin jangan takut polisi harus bela negara dpn anak muda terus bangsa negara,positive
52,@fauz7488,2023-09-16T06:13:54Z,"Di sini pak ,di sumatera utara kabupaten langkat kecamatan pangkalan susu, penjualan narkoba jenis sabu2 sangat meraja lela sprti menjual bahan pokok bebas..tolong sangat pak peresiden ,pak kapolri dan pak kpoda",sumatera utara kabupaten langkat camat pangkal susu jual narkoba jenis sabu raja lela sprti jual bahan pokok bebas tolong residen kapolri kpoda,negative
53,@boazsoen8011,2023-09-15T09:38:24Z,"🚗🇮🇩uang hasil narkoba kasih ke rakyat miskin untuk bertanian, kebun buah  (semua uang sitaan narkoba  pelacuran  judi  ,dll thx",uang hasil narkoba kasih rakyat miskin tani kebun buah uang sita narkoba lacur judi thx,negative
54,@Rickymacho,2023-09-17T00:08:17Z,Kalau sdh msk kelas internasional jaringan pasti luas. dan polisi yg menangkap tdk bkl bs bertahan lama dicopot atau alami kematian nya. krn jaringan mafia dan uang akan ikut  bermain. tdk mungkin diam aja.,sudah msk kelas internasional jaring luas polisi tangkap tidak akan tahan copot alami mati karena jaring mafia uang main tidak diam aja,negative
55,@cocosamp1748,2023-09-13T00:28:37Z,"Nah ini baru kerjanyata, preses sesuai UU yg berlaku, dan para anggota polisinya Wajib mendapatkan Penghargaan dan bonus yg tinggi untuk kerja nyata spt ini supaya makin semangat membasmi kejahatan di negri ini 🤲🤲🤲",kerjanyata preses sesuai laku anggota polisi wajib harga bonus tinggi spt semangat basmi jahat negri,positive
56,@dewibarokah-ui9bm,2023-09-15T08:18:32Z,Sagt tdk mungkin brg hram tu bs masuk ke negri in atw bs bkn prusahaan didlm kl tdk ad bekingan dri oknum yg berpangkt tinggi..kapolri hrus lbih pro aktif dlm mylidiki brg&quot;trlarang..byang rusakx bagsa tu  narkoba n koropsi..hukumn hrus mti..,sagt tidak brg hram negri bkn prusahaan didlm tidak ada beking oknum berpangkt tinggi kapolri hrus lbih pro aktif dalam mylidiki brg trlarang byang rusakx bagsa narkoba koropsi hukumn hrus mti,negative
57,@ashadicahyadincahyadin1005,2023-09-16T15:44:53Z,"Masrakat sangat apreasi kinerja polri ,semoga koruptor juga di Brantas seperti mafia narkoba,bravo polri",masrakat apreasi kerja polri moga koruptor berantas mafia narkoba bravo polri,positive
58,@abelabeljie9646,2023-09-12T22:51:52Z,giliran rakyat aja gercep banget tp klo polri yg melanggar prosesnya sangat lama.dan bahkan gak tercium klo gak ada anak buahnya yg ketangkap duluan atau dr laporan masyarakat.,gilir rakyat aja gercep banget tapi polri langgar proses gak cium gak anak buah tangkap duluan lapor masyarakat,negative
59,@duniainspirasi77,2023-09-13T09:13:34Z,"LUAR BIASA BESARNYA PENEMUAN DUIT HARAM DARI NARKOBA INI,<br><br>UNTUK PAK KAPOLRI BAPAK SIGIT, ANDA LUAR BIASA BEGITUPUN JUGA BAWAHAN²  ANDA YG SKG SEDANG MENANGANI KASUS INI..KAMI  SELURUH MASYARAKAT INDONESIA SANGAT MENGAPRESIASI DAN MENGUCAPKAN TRIMAKASIH YG SEDALAM DALAM NYA UNTUK PENANGANAN KASUS BESAR INI..??? 🙏🙏👍👍👍👍",besar temu duit haram narkoba kapolri sigit bawah skg tangan masyarakat indonesia apresiasi trimakasih dalam tangan,positive
60,@anasasror2878,2023-09-17T08:02:58Z,"Bravo jendral.  Jangan lupa juga kartel2 pinjol,judi online,investasi bodong,berantas semua karena meresahkan rakyat",bravo jendral lupa kartel pinjol judi online investasi bodong berantas resah rakyat,positive
61,@campursari6131,2023-09-16T03:39:03Z,"Ini hal sdh ke tiga kali selama 10 tahun teeakhir ini...dan baru sepuluh tahun ini jujur..bs sampai triyunan...ingat tdk pasokkan ton an..narkoba...yg tertabgkap..lalu kedua kali sama..dan saat ini malah jaringan narkoba...<br>Knp bisa Bgtu..ini nyata...dulu jgn mengada ngada klo bilang ada smp pasokkan ber ton ton....ini sm aja meng hancurkan anak bangsa ,masa depsn bangsa ini....krn setelah terkena Narkoba mrk tdk bs berpikir secara normal ada sel syaraf yg rusak...<br>Dan klo pemerintah pny wibawa harusnya tdk ada yg seperti ini !!!mrk takut segan utk kirim.narkoba ke Indonesoa..aolg saat ini ko ada se org perwira ikut dlm jaringan Narkoba...",sudah tahun teeakhir puluh tahun jujur triyunan tidak pasok ton narkoba tertabgkap jaring narkoba kenapa begitu jangan ada ngada bilang smp pasok ber ton ton aja meng hancur anak bangsa depsn bangsa karena kena narkoba mereka tidak pikir normal sel syaraf rusak perintah pny wibawa tidak mereka takut segan untuk kirim narkoba indonesoa aolg orang perwira dalam jaring narkoba,negative
62,@Midomido-fe7jq,2023-09-16T22:49:42Z,"ga lama yg kaya gini nanti juga kekubur berita kaya gini di ganti ama berita porno kocak 😂 , atau ini cuma pengalihan dari berita rempang ya biar lancar bongkar rumah warga nya",tidak kaya gin kubur berita kaya gin ganti ama berita porno kocak alih berita rempang biar lancar bongkar rumah warga,negative
63,@cmzfamily1470,2023-09-19T22:59:16Z,Hebat Psk Polisi yg baru ini kota Lsmpung bshaya sarang narkoba tsbgkap semua gembong narkoba hukum mati gk pake lama,hebat psk polisi kota lsmpung bshaya sarang narkoba tsbgkap gembong narkoba hukum mati tidak pake,positive
64,@mtobing3103,2023-09-13T01:59:55Z,Tangkap semua pelakunya termasuk siapa bekingnya sekalipun pejabat itu baru benar generasi kita bebas narkoba .jgn hanya pengedar dan pemakainya . Bekingnya  yg terutama .iya Bpk Polri Ku.trimakasih .🙏🙏🙏,tangkap laku beking jabat generasi bebas narkoba jangan peedar maka beking iya bpk polri trimakasih,positive
65,@ZakaryasaiminzarkasihZak-nr5wo,2023-09-13T02:09:06Z,"INI TENTULAH ADA OKNUM PENEGAK HUKUM YG MEMBEKINGINYA, JADI SUSAH UNTUK DIBASMI. NAH SEKARANG SUDAH DITANGKAP DAN HEBOH PEMBERITA&#39;ANNYA. YG DIHAWATIRKAN SEKARANG PUTUS DIJALAN DAN SENYAP KASUSNYA. JADI MASYARAKAT HARUS MENGAWAL KASUS INI, JANGAN SAMPAI TERLEWATKAN.",oknum tegak hukum beking susah basmi tangkap heboh berita dihawatirkan putus jalan senyap kasus masyarakat awal lewat,negative
66,@suwarno737,2023-09-19T00:37:43Z,"Pelaku2 peredaran narkoba sangat harus dihukum mati sekalipun jendral ,karena mereka itu pengkianat2 bangsa dan negara.<br>Inilah bedanya para pejuang2 dulu dengan elit2 sekarang ini.<br>Pejuang benar2 memikirkan jiwa bangsa dengan taruhan nyawa,<br>Saat ini para penikmat malah marak merusak jiwa bangsa.",pelaku edar narkoba hukum mati jendral pengkianat bangsa negara beda pejuang elit juang benar pikir jiwa bangsa taruh nyawa nikmat marak rusak jiwa bangsa,negative
67,@joe_dubbledx,2023-09-19T04:11:09Z,Ko masih pada idup tuh mereka yg merusak manusia harus nya dor aja langsung sisain 1 buat cari informasi abis itu dor lagi aja,idup rusak manusia dor aja sisain cari informasi habis dor aja,negative
68,@thefamilypareesa,2023-09-14T04:47:38Z,"Beking beking tu di hukum mati sekalian.....,,,enak banget tunggu tf ja dia...perbulan..,,,Karir lho udah berakhir bos...",beking beking hukum mati banget tunggu bulan karir lho sudah bos,negative
69,@Annisaffi,2023-09-13T05:55:02Z,Semoga narkoboynya gak dicomot dikit2 kaya yg udah2 ya pak jujur bener2 dimusnahkan. Khawatir tergiur nominal M dan T😂,moga narkoboy gak comot dikit kaya udah jujur bener musnah khawatir giur nominal,negative
70,@mastono4115,2023-09-13T06:28:45Z,lakukan hukuman mati..... negara lain tdk nyaman bagi pengedar narkoba krn diterapkannya hukuman mati......bagaimana dg indonesia.....para penegak hukum jangan banyak bermain.....lakukan tugas dg baik dan hukuman mati agar diterapkan..,laku hukum mati negara tidak nyaman peedar narkoba karena terap hukum mati dengan indonesia tegak hukum main laku tugas dengan hukum mati terap,negative
71,@monkeydragon789,2023-09-13T01:23:38Z,"Yakin nilai sebesar itu pasti ada Bekingan Pusat , coba diselidiki lagi dan dikembangkan , gak mungkin lah klw gak ada bekingan pusatnya , bandar togel kecil2 an aja ada bekingannya",nilai beking pusat coba selidik kembang gak klw gak beking pusat bandar togel kecil aja beking,negative
