komentar,label,komentar_preprocessing
"Ah, bagus ini... Trm ksh, Min.
Agak jauh, tapi okelah. Biar tertib dan rapi.
@gojekindonesia dan @GrabID Mnt tlg edukasi driver agar menurunkan sesuai lokasi ya...
Terima kasih 👏 https://twitter.com/mrtjakarta/status/1167670562275115009 …",positive,ah bagus trm kasih min oke biar tertib rapi gojekindonesia grabid mnt tlg edukasi driver turun sesuai lokasi terima kasih
"Hai Wendy, silakan mengirimkan email ke driversupport@go-jek.com untuk info lebih lanjut. Tks ^yun",positive,wendy sila kirim email driversupport go jek com info tks yun
"Hai kak, kami dari Findaya partner Gojek yang menangani PayLater. Kami infokan kakak dpt melakukan pembayaran kapanpun sebelum atau saat jatuh tempo. Namun, jika kakak terlambat dlm melakukan pembayaran, PayLater akan dibekukan sementara waktu sampai adanya pelunasan. Tks^krn",positive,kak findaya partner gojek tangan paylater info kakak dpt bayar jatuh tempo kakak lambat dalam bayar paylater beku waktu lunas tks karena
"Hai Beti, untuk keluhan Anda sedang ditindaklanjuti oleh tim kami dengan nomor laporan 15457060. Mohon menunggu prosesnya. Terima kasih ^yun",positive,beti keluh ditindaklanjuti tim nomor lapor tunggu proses terima kasih yun
"Hai Alvin, kami sangat senang menerima kritik dan saran dari Anda, karena dapat membantu kami dalam menjaga kualitas pelayanan kami. Informasi yang Anda berikan akan kami sampaikan ke team kami sebagai perbaikan untuk ke depannya. Terima kasih^yun",positive,alvin senang terima kritik saran bantu jaga kualitas layan informasi team baik depan terima kasih yun
"Seru banget, tadi pagi kita konvoi bareng para Menteri naik motor listrik!

#PastiAdaJalan buat nyiptain dampak sosial yg positif di segala bidang, termasuk lingkungan. Semoga penggunaan kendaraan listrik bisa segera dilaksanakan, supaya Indonesia bersih udara dan hemat energi! pic.twitter.com/acLNTCH1D7",positive,seru banget pagi konvoi bareng menteri motor listrik pastiadajalan nyiptain dampak sosial positif bidang lingkung moga guna kendara listrik laksana indonesia bersih udara hemat energi pic twitter com
Mau nambahin lg tp cape krn terlalu banyak bahagiaku krn gojek bulan ini tuh:( maturnuwun @gojekindonesia @golifeindonesia @gopayindonesia,positive,nambahin lagi tapi cape karena bahagia karena gojek maturnuwun gojekindonesia golifeindonesia gopayindonesia
"Nyelesaiin misi dpt go-pay 10.000, lalu 10rbnya ku pake buat go-daily beli aer galon jd cuma ngeluarin kocek sebesar 7.500 subhanallah dah, bersyukur bgt ampun. Trs beli koin webtoon cashback 100% kl bayar pake GO-PAY huhuuu gilaa ga sii @gojekindonesia @golifeindonesia pic.twitter.com/O8FXnWs5OU",positive,nyelesaiin misi dpt go pay ku pake go daily beli aer galon ngeluarin kocek subhanallah syukur sangat ampun terus beli koin webtoon cashback bayar pake go pay huhuuu gilaa tidak sii gojekindonesia golifeindonesia pic twitter com
"Lagi sueeneeeng pol sm @gojekindonesia dan @golifeindonesia. Sebagai anak kos yg suka ngehemat, aku seneng bgt sm gojek  bulan ini. 16x perjalanan cuma 9rb, 23x mesen makan dpt potongan 15rb cuma seharga 45rb, mesen go-auto dpt potongan jd cuma bayar 8rb huaaa bahagia pic.twitter.com/vm2ACRlWFp",positive,sueeneeeng pol gojekindonesia golifeindonesia anak kos suka ngehemat neng sangat gojek jalan rb mesen makan dpt potong harga mesen go auto dpt potong bayar rb huaaa bahagia pic twitter com
"Kalau ada yang mudah kenapa pilih yang susah?

UMKM Jogja semakin Istimewa bersama @gojekindonesia
#gojek
#gofood
#goumkm
#gofoodinaja
#gojekindonesia
#jogjaistimewa pic.twitter.com/NCrJ2lCcqV",positive,mudah pilih susah umkm jogja istimewa gojekindonesia gojek gofood goumkm gofoodinaja gojekindonesia jogjaistimewa pic twitter com
"Emang holy grail banget buat anak kos macam akutu, makasih @gojekindonesia  pic.twitter.com/c63f9M02Kj",positive,emang holy grail banget anak kos akutu makasih gojekindonesia pic twitter com
"Sekarang enak, apa apa bisa beli pakai online.
Lapar setiap saat.
Haus setiap saat.
Ada solusi cepat.

Semua orang bisa jadi pengusaha.
Aplikasi online banyak membantu UMKM dalam mengembangkan usahanya.
Jogja Istimewa bersama @gojekindonesia  pic.twitter.com/uQDBZSZl6C",positive,beli pakai online lapar haus solusi cepat usaha aplikasi online bantu umkm kembang usaha jogja istimewa gojekindonesia pic twitter com
"Sesenang itu belanja di @sociolla_id . Diskon 50k, minimum belanja 200k. Terus bayar pakai  gopay @gojekindonesia cashback 20k. Kan hemat bangettt 🥰🥰  pic.twitter.com/SCKnhnSH9I",positive,senang belanja sociollaid diskon minimum belanja bayar pakai gopay gojekindonesia cashback hemat banget pic twitter com
"Hai Hida, bisa di informasikan nomor tlp, email, email dan alasannya melalui DM? Terima kasih^yni",positive,hida informasi nomor tlp email email alas dm terima kasih yni
"Nama Shamsubahrin Ismail viral di berbagai media massa Indonesia terkait pernyataannya mengenai @gojekindonesia. Pengusaha Malaysia itu memiliki segudang pengalaman di antaranya bisnis peternakan sapi, halal e-commerce, hingga pernah terlibat kasus hukum.
 https://katadata.co.id/berita/2019/08/29/bos-taksi-malaysia-rival-gojek-berbisnis-ternak-hingga-e-commerce …",positive,nama shamsubahrin ismail viral media massa indonesia kait nyata gojekindonesia usaha malaysia milik gudang alam bisnis terna sapi halal commerce libat hukum
"saya ikut dukung tarif ojol dinaikan pemerintah...kalo perlu lebih tinggi.
supaya ojek pangkalan bisa bersaing minimal soal tarif.",positive,dukung tarif ojol naik perintah tinggi ojek pangkal saing minimal tarif
"Ku harap thread ini berguma bagi kalian yang masih sering menanggap sampah plastik itu sepele, ayok kita tetap menjaga lingkungan kita, aku harap @gojekindonesia @GrabID bisa membaca thread ini",positive,ku harap thread guma tanggap sampah plastik sepele ayok jaga lingkung harap gojekindonesia grabid baca thread
"Dengan begini @GrabID @gojekindonesia  atau ojol yang laen menjaga lingkungan, kenapa sih harus ojol? menurut saya ojol merupakan salah satu tempat yang paling bagus untuk mengkampanye kan CINTA LINGKUNGAN, dapat menyadarkan para pengguna atau sekitar untuk menjaga lingkungannya",positive,grabid gojekindonesia ojol laen jaga lingkung ojol ojol salah bagus kampanye cinta lingkung sadar guna jaga lingkung
"Halo @GrabID @gojekindonesia 
Dan semua ojol yang ada di indonesia, ini thread bukan untuk memberi tips ataupun thread cerita pengalaman horor ojol, thread ini buat OWNER ojol Untuk mengajak kalian promosiin CINTA LINGKUNGAN, ini saran dari saya.....(bukan bermaksud menggurui)",positive,grabid gojekindonesia ojol indonesia thread tips thread cerita alam horor ojol thread owner ojol ajak promosiin cinta lingkung saran guru
"Beda @gojekindonesia (GoFood) dan @GrabID (GrabFood) di Lampung :

Saat order,
driver GoFood selalu telpon ke no ponsel untuk memastikan pesanan dan bertanya tujuan antar,
sedankan driver GrabFood hanya memastikan pesanan melalui aplikasi Grab dan tidak bertanya tujuan antar",positive,beda gojekindonesia gofood grabid grabfood lampung order driver gofood telpon no ponsel pesan tuju sedan driver grabfood pesan aplikasi grab tuju
"Jujur kalo mama yang capek-capek bangun pagi masakin, terus nyiapin bekel buat aku sih ya kaleeeee aku lebih pilih gofood? Mau apakek bekelnya, home-made food is always the best. @gojekindonesia",positive,jujur mama capek capek bangun pagi masakin nyiapin bekel kaleeeee pilih gofood apakek bekel home made food is always the best gojekindonesia
"seems like @ovo_id lagi error, top up gak masuk, saldo gak bisa diliat, gak bisa order @GrabID @TokopediaCare

beralih ke @gojekindonesia @bukalapak aja dulu ah, karena hidup itu pilihan",positive,seems like ovoid error top up gak saldo gak liat gak order grabid tokopediacare alih gojekindonesia bukalapak aja ah hidup pilih
"Gais,.. Buat kalian semua yg Mager di wiken ini tapi pengen bgt makan @chicagodepok kalian bisa #gofoodinaja aplikasi dari @gojekindonesia
#kulinerdepok #kulinerjakarta #jagonyaayamgoreng pic.twitter.com/pt5ENCcA0E",positive,gais mager wiken ken sangat makan chicagodepok gofoodinaja aplikasi gojekindonesia kulinerdepok kulinerjakarta jagonyaayamgoreng pic twitter com
"Go-points belum pernah dipake sejak gabung dari 5 tahun lalu. Sengaja dikumpulin krn belum genah jumlahnya. Tapi, sekarang Go-points sudah hampir punah. Diadakan lagi, dong, @gojekindonesia, Go-points-nya dgn hadiah-hadiah yg menarik, bukan free ride/kaos gojek doang.",positive,go points dipake gabung tahun sengaja dikumpulin karena genah go points punah ada gojekindonesia go points dengan hadiah hadiah tarik free ride kaos gojek doang
"Terima kasih @gojekindonesia berkat kamu aku yg anak kos bisa makan enak tanpa harus bayar mahal 😘😘 sering"" bagi"" vouchernya ya 🥰🥰🥰  pic.twitter.com/NMNNrUsGLv",positive,terima kasih gojekindonesia berkat anak kos makan bayar mahal voucher pic twitter com nmnnrusglv
"Masi banyak driver kurang ajar, ga ngechat apa2, pas di chat ga ngebales. Diapain ya enaknya biar jera driver kek gini? @gojekindonesia",positive,mas driver ajar tidak ngechat apa pas chat tidak ngebales diapain enak biar jera driver kek gin gojekindonesia
ini gimana ya akun gojek ibu saya tbtb gak terdaftar. kemarin log in gak bisa2 tbtb skrg coba log in lagi gak terdaftar. di akun itu ada saldo gopay lumayan banyak. udh telepon ke cs tp cs malah nyolot gak bantu sama sekali @gojekindonesia,positive,gimana akun gojek tbtb gak daftar kemarin log in gak bisa tbtb sekarang coba log in gak daftar akun saldo gopay lumayan sudah telepon cs tapi cs nyolot gak bantu gojekindonesia
"Kayaknya engga juga Wan. Pernah order di ciwalk ngga? Tau kan ya banyak banget driver yg udah kelar nganter mayan banyak juga yg nunggu orderan. Tp tiap order disitu, aku ga pernah dapet yg deket2 situ :))

Setuju banget, grab lebih oke dalam hal ini.",positive,kayak engga wan order ciwalk tau banget driver sudah selesai nganter mayan nunggu order tapi order situ tidak dapet deket situ tuju banget grab oke
"@gojekindonesia haloo min, akun gojek saya ke banned sementara nih, jd gk bisa order go food nih, solusinya gimana min? Udah dari kemaren mention tp belum di respon :( makasih sebelumnya mimin",positive,gojekindonesia haloo min akun gojek banned tidak order go food solusi gimana min sudah kemaren mention tapi respon makasih mimin
"Gofigure by @gojekindonesia & Sharing Handry by @HandryGE , they're inspiring, share the real story & history (lesson learned).",positive,gofigure by gojekindonesia sharing handry by handryge they re inspiring share the real story history lesson learned
"@gojekindonesia maap mau tanya, sy kan driver bru daerah  http://tangerang.Sy  blm dapat atribut, klo mo ambil bisa di alsut atau hrus ke senayan. Trims.",positive,gojekindonesia maap saya driver baru daerah blm atribut mau ambil alsut hrus senayan trims
"balik kos 

❌ sangu dr bapak 
💯 sangu dr @GrabID @gojekindonesia  pic.twitter.com/eeAYDPwXES",positive,kos sangu dr sangu dr grabid gojekindonesia pic twitter com eeaydpwxes
"@gojekindonesia  Ini akun saya KOK gak bisa d gunakan knpa Ya,  sya habis Ganti HP Dan mau mindah akun gojek sya,  eh  malah gini  pic.twitter.com/fhm6MYHjXI",positive,gojekindonesia akun gak kenapa saya habis ganti hp mindah akun gojek saya eh gin pic twitter com
"👨bapa ojol 👧 aku

*Pas dateng
👨*Senyum ramah*
👧yaampun bapak maaf banget ya pak, tadi gak teliti ngecek pin dulu pas mau pesen
👨iya nduk gapapa
👧yaampun pak maaf loh pak
👨iyaa wes ndhuk, gapapa gapapa

Thx @gojek24jam @gojekindonesia  pic.twitter.com/VEOO29lx6E",positive,bapa ojol pas dateng senyum ramah yaampun maaf banget gak teliti ngecek pin pas sen iya nduk gapapa yaampun maaf iyaa wes ndhuk gapapa gapapa thx gojekindonesia pic twitter com
"@gojekindonesia ini go ride nya brp x y

udh 2 x go ride blum kecapai juga  pic.twitter.com/bpSwnRM5Sg",positive,gojekindonesia go ride brp sudah go ride blum capa pic twitter com
"Maaf, gan
Setelah ditelusuri ternyata blm ketemu jg
&
@gojekindonesia 😠😠😠😠😠
SUDAH DIAKTIFKAN KEMBALI ATAU BELUM AKUN DRIVER TERSEBUT ??!!!
JANGAN MENJADI BANGSAT TERHADAP ANAK BANGSA #Indonesia
APAKAH KETERLAMBATAN ADALAH SAMA DENGAN TIDAK SAMPAI ?!!!
TOLOL JANGAN DIPELIHARA https://twitter.com/andi_albarn/status/1167614143785910272 …",positive,maaf gan telusur blm ketemu juga gojekindonesia aktif akun driver bangsat anak bangsa indonesia lambat tolol pelihara
"Maaf, gan
Setelah ditelusuri ternyata blm ketemu jg
&
@gojekindonesia 😠😠😠😠😠
SUDAH DIAKTIFKAN KEMBALI ATAU BELUM AKUN DRIVER TERSEBUT ??!!!
JANGAN MENJADI BANGSAT TERHADAP ANAK BANGSA #Indonesia
APAKAH KETERLAMBATAN ADALAH SAMA DENGAN TIDAK SAMPAI ?!!!
TOLOL JANGAN DIPELIHARA",positive,maaf gan telusur blm ketemu juga gojekindonesia aktif akun driver bangsat anak bangsa indonesia lambat tolol pelihara
"Pagi @gojekindonesia saya ingin lihat historical transaction pada tanggal 25 Agustus.
Belum sempet terscreenshoot & di aplikasi sudah hilang. Saya cek email, struk transaksinya kol tidak diemail ya?
Mohon dibantu thanks",positive,pagi gojekindonesia historical transaction tanggal agustus sempet terscreenshoot aplikasi hilang cek email struk transaksi kol email bantu thanks
@gojekindonesia mohon ini konsumen di bekukan akun'y....pagi2 sudah maen cancel dan mengakibatkan performa turun....ini opik bangsat....  pic.twitter.com/qAHKD3xVfS,positive,gojekindonesia konsumen beku akun pagi maen cancel akibat performa turun opik bangsat pic twitter com
@gojekindonesia sampai seperti inilah kami mencari uang halal tp kadang penumpang seenaknya aja kasih bintang dan kommen yg ujung2nya kami bisa suspend kami mitra. Pak @jokowi kami butuh pekerjaan layak pic.twitter.com/ZYItF7kuya,positive,gojekindonesia cari uang halal tapi kadang tumpang aja kasih bintang kommen suspend mitra jokowi butuh kerja layak pic twitter com
Please do your magic.. @gojekindonesia @uusbiasaaja @falla_adinda @kumparan @antaranews @detikcom @CNNIndonesia @okezonenews @radenrauf @aulmaulidiana @ https://twitter.com/yuniarayutyas/status/1167387194496962560 …,positive,please do your magic gojekindonesia uusbiasaaja fallaadinda kumpar antaranews detikcom cnnindonesia okezonenews radenrauf aulmaulidiana
"Gu 
Kartu 3
Main twitter
Hp android
Pergi-pergi naik @gojekindonesia or @GrabID",positive,gu kartu main twitter hp android pergi pergi gojekindonesia or grabid
"@gojekindonesia halo min, saya td pagi jam 7 baru tuntaskan misi gofood tapi kenapa rewardnya gak dapet ya?",positive,gojekindonesia min td pagi jam tuntas misi gofood reward gak dapet
@gojekindonesia min.. sy mau bayar paylater. Tp ko halaman pay laternya ga ada ya 😳,positive,gojekindonesia min saya bayar paylater tapi ko halaman pay later tidak
"Go-jek donggg.
1. Buatan Indonesia tentunya.
2. Banyak promo & diskon.
3. Nga tau, nyaman aja pakai go-jek.

@gojekindonesia 😂",positive,go jek donggg buat indonesia promo diskon nga tau nyaman aja pakai go jek gojekindonesia
