Nomor,label,komentar,komentar_preprocessing
54,positive,KARTINI adalah salah satu film Indonesia bertema sejarah terbaik yg pernah dibuat. Digarap dgn serius dan tema msh relevan dgn kondisi skrg.,kartini salah film indonesia tema sejarah baik garap dengan serius tema relevan dengan kondisi sekarang
55,positive,Barusan bgt kelar nntn @filmziarah film lokal pertama yg gue tonton dan berhasil bikin nangis @bewe_bw speechless liat aktingnya @alitalit_,barusan sangat kelar nntn filmziarah film lokal saya tonton hasil bikin nang bewebw speechless liat akting alitalit
56,positive,Trust me. #GetOut itu tipe film paling nyaman dinikmati saat kita gak tau sama sekali filmnya mau kemana. Kalau sudah baca sana-sini ya beda,trust me getout tipe film nyaman nikmat gak tau film mana baca beda
57,positive,Dan tiap scene Reza-Adinia ini selalu gold moment #CriticalEleven. Ini berdua emg dah ditakdirkan jadi pasangan plg cocok di film saat ini.,scene reza adinia gold moment criticaleleven dua emg takdir pasang plg cocok film
58,positive,Film kartini.. Meski aku agak telat nontonnya. film ini bagus banget...kalian sukses mendeliver cerita dan pesan.. good job guys... ,film kartini telat nonton film bagus banget sukses mendeliver cerita pesan good job guys
59,negative,"Intinya, kmren kecewa bgt sama @cinema21 krna mmbiarkan anak kecil nnton film dewasa & jam tayang malam (20.30 WIB) pula #CriticalEleven",inti kmren kecewa sangat karena mmbiarkan anak nnton film dewasa jam tayang malam wib criticaleleven
60,negative,"Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini.",kecewa dengan salah aktor dukung nista agama ah sabar untuk tonton film
61,positive,Buat yg udah nonton The Guys. Pilihan nonton di @cinema21 lainnya adalah #Unlocked film action yg seru. Cocok buat nemenin pas long weekend.,sudah nonton the guys pilih nonton unlocked film action seru cocok nemenin pas long weekend
62,negative,"Banyak yang bilang, film ini jelek. Daur ulang yang gagal. Di imdb dan ratattote aja ratingnya anjlok. Tp menurutku, aku suka sama film ini",bilang film jelek daur ulang gagal imdb ratattote aja rating anjlok tapi turut suka film
63,negative,Kecewa parah sama film the guys. Dear @radityadika sorry to say this.,kecewa parah film the guys dear radityadika sorry to say this
64,negative,"Mau bilang jelek ya bilang aja, sekalipun yg buat film itu teman sendiri. Sebut ""filmya bagus"" padahal biasa aja ngga bkin tmen lu maju sih.",bilang jelek bilang aja film teman filmya bagus aja bkin tmen lu maju
65,positive,Kmrn nonton film THE GUYS di situ bener2 ngerasain bgt bahwa sahabat lebih dari segala2''y knapa bang kalau bkn film sllu keren @radityadika,kmrn nonton film the guys situ bener ngerasain sangat sahabat segala knapa bang bkn film sllu keren radityadika
66,positive,Salah satu film yg gak pernah bikin bosen ditonton berapa kali pun: The Intern. What a lovely movie. @CenayangFilm,salah film gak bikin bosen tonton the intern what lovely movie cenayangfilm
67,positive,"Film The guys nya keren abiss bang @radityadika . Lucu dapet, romance nya dapet, dan sedih nya juga dapet.",film the guys keren abiss bang radityadika lucu dapet romance dapet sedih dapet
68,negative,"Kecewa dgn plot cerita film dengan the guys, critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi",kecewa dengan plot cerita film the guys crita akan lompat tidak proses visual bikin kta erti amira suka alf
69,positive,minggu lalu nonton #DANUR mau review seneng juga sih film horror Indonesia sudah bagus lagi @CenayangFilm @ScreenSaversID,minggu nonton danur review neng film horror indonesia bagus cenayangfilm screensaversid
70,positive,Film-film tersebut juga cocok lho ditonton bareng anak Anda. Yuk mulai nonton lagi film berkualitas dari Indonesia #BTInd,film film cocok lho tonton bareng anak yuk nonton film kualitas indonesia btind
71,negative,sebnarnya ini film lumyan bgus..sayangnya aktor n aktrisnya dari rusia jadi filmnya trsa hambar,sebnar film lumyan bgus sayang aktor aktris rusia film trsa hambar
72,positive,"Sumpah film danur bagus banget. yg ini nihh baru dapat film yang kenyataan bener,..seru bikin ngageting #DanurMovie",sumpah film danur bagus banget nihh film nyata bener seru bikin ngageting danurmovie
