nama_akun,tanggal_komentar,komentar,komentar_preprocessing,label
purworejo_rutan,2023-09-12T23:26:15Z,Arah akhir Yuspahrudin juga mengingatkan kepala UPT mendukung KTT G20 dipegang Bali mempertahankan wilayah kondusif tatanan keamanan,arah yuspahrudin kepala upt dukung k   pegang bal tahan wilayah kondusif tatanan aman,neutral
WarasBareng,2023-09-15T06:49:40Z,"Meninjau Tahura Ngurah Rai Rai Raya Taman Hutan Denpasar Tahura City Satu Tempat Seri G20 Bali KTT 2022 Bulan depan Tahura, juga pembibitan pria kemudian",tinjau tahura ngurah rai rai raya taman hutan denpasar tahura city seri   bal k     tahura bibit pria,neutral
usharanimuni,2023-09-18T08:00:30Z,Pemerintah Memastikan Hotel Bali Siap Selamat Datang Bangka Belitung G20Indonesia RecoverTrecoverstronger G20Indonesia2022 Groupoftwentyindonesia Kepulauan KTT Kepulauan,perintah hotel bal selamat bangka belitung   recovertrecoverstronger       groupoftwentyindonesia pulau k pulau,positive
beritasulselcom,2023-09-12T22:54:23Z,PT Telekomunikasi Pastikan kelancaran G20 Summit Telecommunications Network Bali,pt telekomunikasi pasti lancar   summit telecommunications network bal,positive
kompascom,2023-09-13T06:52:06Z,Sheikh Zayed Grand Masjid diresmikan G20 Summit Konferensi Tingkat Tinggi Bali Tengah November 2022,sheikh zayed grand masjid resmi   summit konferensi tingkat bal november    ,positive
CWafer88,2023-09-16T08:30:03Z,Pemerintah mengantisipasi gangguan jaringan telekomunikasi G20 Summit Bali Sukses Pembangunan Indonesia,perintah antisipasi ganggu jaring telekomunikasi   summit bal sukses bangun indonesia,neutral
LisaWri39975245,2023-09-15T06:50:03Z,"Parakreaf Community Bali Diundang Succed Summit G20 G20Indonesia Recovertogetherrecoverstronar G2022 Groupoftwentyindonesia, Jawa Tengah",parakreaf community bal undang succed summit     recovertogetherrecoverstronar     groupoftwentyindonesia jawa,neutral
WartaEkonomi,2023-09-12T22:54:56Z,Menko Luhut Meninjau G20 Summit Venue Bali,menko luhut tinjau   summit venue bal,neutral
M3juahjuah,2023-09-13T12:13:53Z,"Pastikan Presiden Host Kesiapan Bali Joko Widodo Langsung Meninjau Lokasi G20 Pertemuan Presiden Juga Ingin Pastikan Agenda Rinci Agenda KTT Agenda Tutup Pertemuan Internasional, yaitu ASEAN Summit APEC",pasti presiden host kesiap bal joko widodo tinjau lokasi   temu presiden pasti agenda rinci agenda k agenda tutup temu internasional asean summit apec,positive
jenniferjoytagh,2023-09-17T00:22:38Z,Pemerintah Memastikan Hotel Bali Siap Selamat Datang G20 G20Indonesia RecoverTheRecoverstronger G20Indonesia2022 Groupoftwentyindonesia,perintah hotel bal selamat     recovertherecoverstronger       groupoftwentyindonesia,positive
DamaiSulbar,2023-09-13T03:33:20Z,Indonesia Bali KTT G20 DAMAI LAWANTERORISME TANGKALRADIKISME MERDEKA PANCASILILADA NKRIHARGAMATI Malaqbi Melletediangang Manakarra Sulbarinter Sulbarmoderate Polewalimar Majene MamuJu Mamjuuan Mamasa Pasangkaya Topoyo,indonesia bal k   damai lawanterorisme tangkalradikisme merdeka pancasililada nkrihargamati malaqbi melletediangang manakarra sulbarinter sulbarmoderate polewalimar majene mamuju mamjuuan mamasa pasangkaya topoyo,neutral
TelkomAkses_,2023-09-16T13:42:46Z,Teman Telekomunikasi Akses Berpartisipasi Proses Persiapan G20 Kegiatan KTT Diadakan November 2022 Informasi Bali Bagian Telekomunikasi Kelompok Tugas Gugus Tugas Aman Acara KTT Telecommunications Network.,teman telekomunikasi akses partisipasi proses siap   giat k ada november     informasi bal telekomunikasi kelompok tugas gugus tugas aman acara k telecommunications network,positive
Johnss___,2023-09-13T14:42:20Z,Polisi Nasional Indonesia Siap Bali Siap Membawa Keamanan G20 Kepresidenan KTT Bali Kendaraan Listrik ramah lingkungan,polisi nasional indonesia bal bawa aman   presiden k bal kendara listrik ramah lingkung,positive
Johnss___,2023-09-13T14:07:01Z,Penyelesaian Persiapan 20 Peningkatan Ekonomi Bali Polisi Regional Memastikan Kesiapan Keamanan Memulai Fasilitas Personel Infrastruktur Dukungan Lancar Keamanan G20 KTT,selesai siap  tingkat ekonomi bal polisi regional kesiap aman fasilitas personel infrastruktur dukung lancar aman   k,positive
Johnss___,2023-09-12T22:15:58Z,Polisi Nasional Polisi Tetap Polisi Nasional Siap Membawa Tugas Keamanan G20 Summit Bali Satu Langkah Program Pemulihan Ekonomi Nasional Meningkatkan Ekonomi Negara,polisi nasional polisi polisi nasional bawa tugas aman   summit bal langkah program pulih ekonomi nasional tingkat ekonomi negara,positive
Anggita_lung,2023-09-16T13:28:18Z,Menteri Luar Negeri Retno Marsudi Mengatakan Persiapan Indonesia Memegang Konferensi Tingkat Tinggi G20 Summit Bali Mid -November Sudah Benar Jalur Siap Syarat Siap Logistik Substansi Pikirkan Persiapan Kanan,menteri negeri retno marsudi siap indonesia pegang konferensi tingkat   summit bal mid november jalur sayarat logistik substansi pikir siap kanan,positive
detikfinance,2023-09-15T19:18:07Z,PLN menyatakan banyak 66 SPKLU SIAP FILL KENDARAAN LISTRIK DIGUNAKAN ACARA PEAK G20 Summit Bali Bulan depan,pln  spklu fill kendara listrik acara peak   summit bal,positive
ArdinMark,2023-09-13T00:39:15Z,Mari kita dukung sepenuhnya Summit G20 Bali Suara Bali G20Indonesia RecovertogetherRecoverstronger G20Indonesia2022 Groupoftwentyindonesia,mari dukung sepenuh summit   bal suara bal   recovertogetherrecoverstronger       groupoftwentyindonesia,neutral
kabarlensa2021,2023-09-13T08:49:29Z,Tribunus Bali Kryd Blahbatuh Sektor Polisi Mengoptimalkan Perintah Keselamatan Komunitas Mendukung Keamanan G20 KTT,tribunus bal kryd blahbatuh sektor polisi optimal perintah selamat komunitas dukung aman   k,positive
DamaiSulbar,2023-09-13T00:28:37Z,Disiapkan TNI POLRI Implementasi Aman G20 Presidensi 2022 Indonesia Bali Summit G20 DAMAI LAWANTERORISME Tangkalradikalisme Merdeka Pancasadannegas Nkrihargamati Malaqbi melletediangang Manakarra sulbarin sulbarmoderat,siap tni polri implementasi aman   presidensi     indonesia bal summit   damai lawanterorisme tangkalradikalisme merdeka pancasadannegas nkrihargamati malaqbi melletediangang manakarra sulbarin sulbarmoderat,positive
Batman_Monyok,2023-09-18T07:52:00Z,Meninjau Tahura Ngurah Rai Presiden Menunjukkan Kepedulian Indonesia Lingkungan Presiden Meninjau Tahura Ngurah Rai Bali One Places Serial Bali G20 KTT 2022,tinjau tahura ngurah rai presiden peduli indonesia lingkung presiden tinjau tahura ngurah rai bal one places serial bal   k    ,neutral
InfoPublikIP,2023-09-15T10:37:38Z,Konferensi KTT G20 KTT High Level berlangsung Bali 15 November 2022 Berlanjut Meningkatkan Kualitas Acara Lokasi Telekomunikasi Telekomunikasi,konferensi k   k high level bal  november     lanjut tingkat kualitas acara lokasi telekomunikasi telekomunikasi,positive
Ireng_Maulana45,2023-09-16T05:04:21Z,"Selain itu, pertemuan juga membahas kesiapan Bali detail sumur sesi waktu g20 puncak menurut Airlangg Indonesia berharap hasil keseluruhan diskusi g20 pemimpin dapat sederhana meringkas 34 paragraf",temu bahas kesiap bal detail sumur sesi   puncak airlangg indonesia harap hasil diskusi   pimpin sederhana ringkas  paragraf,neutral
forjakeu,2023-09-12T22:28:42Z,Temui Menteri Luar Negeri Retno Sekretaris Jenderal Konfirmasi PBB,temu menteri negeri retno sekretaris jenderal konfirmasi pbb,negative
DivaCatrii,2023-09-13T22:21:45Z,Pembukaan WCCE ke -3 Kamis 6 Oktober 2022 Presiden Meninjau Infrastruktur Jalan Konstruksi Nusa Dua Area Badung Badung Provinsi Bali Provinsi Lulus Para Pemimpin Dunia menghadiri KTT G20 November,buka wcce  kamis  oktober     presiden tinjau infrastruktur jalan konstruksi nusa area badung badung provinsi bal provinsi lulus pimpin dunia hadir k   november,neutral
widiamustika22,2023-09-13T08:22:14Z,"Pemerintah Memastikan Hotel Bali Siap Selamat Datang G20 G20Indonesia RecoverTheRecoverstronger G20Indonesia2022 Groupoftwentyindonesia, Jawa Tengah",perintah hotel bal selamat     recovertherecoverstronger       groupoftwentyindonesia jawa,positive
BumnPsrJitu,2023-09-16T07:40:56Z,"Teman Bumn Green Energy Station GES Siap melayani G20 Delegasi KTT Bali November 2022 Membutuhkan Kegiatan G20, Sebagian besar menggunakan Enertisasiyyyyyout Kendaraan Listrik Gespertamindukung20 Pertaminpintransisi Energi",teman bumn green energy station ges layan   delegasi k bal november     butuh giat   enertisasiyyyyyout kendara listrik   pertaminpintransisi energi,positive
LisaWri39975245,2023-09-13T13:56:05Z,"Parakreaf Community Bali Diundang Succed Summit G20 G20Indonesia Recovertogetherrecoverstronar G2022 Groupoftwentyindonesia, Jawa Tengah",parakreaf community bal undang succed summit     recovertogetherrecoverstronar     groupoftwentyindonesia jawa,neutral
DamaiSulbar,2023-09-16T13:20:32Z,firm acts splitting indonesian republic indonesia bali summit g20 damai lawanterorism tangkalradicalism merdeka pancasilardi nkrihargamati malaqbi melletediatonganang manakarra sulbarinfo sulbarmoderate polewalim majene mamuju mamuju mamasa mamasa,firm acts splitting indonesian republic indonesia bal summit   damai lawanterorism tangkalradicalism merdeka pancasilardi nkrihargamati malaqbi melletediatonganang manakarra sulbarinfo sulbarmoderate polewalim majene mamuju mamuju mamasa mamasa,negative
DamaiSulbar,2023-09-13T01:59:09Z,Polisi Regional Bali Pastikan terus membawa patroli secara rutin Indonesia Bali Summit lawanterorisme damai Tangkalradicalism Merdeka pancasilardi nkrihargamati malaqbi melletediangangan manakarra sulbarinfo sulbarmoderat,polisi regional bal pasti bawa patroli rutin indonesia bal summit lawanterorisme damai tangkalradicalism merdeka pancasilardi nkrihargamati malaqbi melletediangangan manakarra sulbarinfo sulbarmoderat,positive
DEWITOGEL1,2023-09-13T23:50:50Z,POLDA Bali mengundang komunitas mempertahankan ketertiban umum keamanan ke depan G20 Summit,polda bal undang komunitas tahan tertib aman   summit,neutral
DaniaKusuma6,2023-09-13T04:02:55Z,hotel mantap bali siap sambutan selamat datang g20 g20indonesia recovertogetherrecoverstronger g20indonesia2022 groupoftwentyindonesia java barat,hotel mantap bal sambut selamat     recovertogetherrecoverstronger       groupoftwentyindonesia java barat,positive
antarabiz,2023-09-13T03:45:55Z,Tinjau Persiapan G20 Summit Bali Luhut Patent,tinjau siap   summit bal luhut patent,neutral
jpnncom,2023-09-13T02:23:06Z,bmkg segera memasang layar cuaca yang mengantisipasi gempa bumi tsunami bencana alam di depan g20 summit bali note lokasi bmkg,bmkg pasang layar cuaca antisipasi gempa bumi tsunami bencana alam   summit bal note lokasi bmkg,positive
yulitasaarii___,2023-09-18T07:45:59Z,Mengadakan Pertemuan Puncak G20 Negara Bali November 2022 Mendekati Presiden Jokowi Kembalinya Kabinet Pertemuan Dewasa Berbagai Persiapan G20 KTT Merdeka Palace Senin 3 Okt 2022,ada temu puncak   negara bal november     dekat presiden jokowi kembali kabinet temu dewasa siap   k merdeka palace senin  okt    ,positive
DamaiSulbar,2023-09-13T05:35:07Z,"Waktu dapat mengubah globalisasi saat ini orang Indonesia terus berpegang teguh Pancasila Indonesia Bali Summit Tangkalradicalism Merdeka Pancasilardikalisme, Basis Negara Negara Nkrihargamati, Malaqbi Melletediangang Manakarra sulbarinfo",ubah globalisasi indonesia pegang teguh pancasila indonesia bal summit tangkalradicalism merdeka pancasilardikalisme basis negara negara nkrihargamati malaqbi melletediangang manakarra sulbarinfo,positive
bocorantogelHK,2023-09-13T00:11:55Z,POLDA Bali mengundang komunitas mempertahankan ketertiban umum keamanan ke depan G20 Summit,polda bal undang komunitas tahan tertib aman   summit,neutral
PolantasID,2023-09-13T00:25:25Z,Kakorlantas Polri Pastikan Personel Penjaga Siap Peristiwa Rute Aman G20 KTT Konferensi Tingkat Tinggi Pulau Pulau Bali,kakorlantas polri pasti personel jaga peristiwa rute aman   k konferensi tingkat pulau pulau bal,positive
DamaiSulbar,2023-09-18T23:55:05Z,firm acts splitting indonesian republic indonesia bali summit g20 damai lawanterorism tangkalradicalism merdeka pancasilardi nkrihargamati malaqbi melletediatonganang manakarra sulbarinfo sulbarmoderate polewalim majene mamuju mamuju mamasa mamasa,firm acts splitting indonesian republic indonesia bal summit   damai lawanterorism tangkalradicalism merdeka pancasilardi nkrihargamati malaqbi melletediatonganang manakarra sulbarinfo sulbarmoderate polewalim majene mamuju mamuju mamasa mamasa,negative
mang_ib,2023-09-18T14:47:09Z,"Selain itu, pertemuan juga membahas kesiapan Bali detail sumur sesi waktu g20 puncak menurut Airlangg Indonesia berharap hasil keseluruhan diskusi g20 pemimpin dapat sederhana meringkas 34 paragraf",temu bahas kesiap bal detail sumur sesi   puncak airlangg indonesia harap hasil diskusi   pimpin sederhana ringkas  paragraf,neutral
detikcom_bali,2023-09-13T03:38:42Z,Bali segera menanggapi arahan luhut online pembelajaran g20 detikcom summit detikbali g20indonesia2022,bal tanggap arah luhut online ajar   detikcom summit detikbali      ,neutral
Nov1R007,2023-09-13T04:47:19Z,"Pastikan Kesiapan Bali Presiden Host Jokowi Langsung Mengamati Lokasi G20 Pertemuan Presiden Juga Ingin Memastikan Agenda Agenda Rinci Agenda G20 Tutup Waktu Tutup Pertemuan Internasional, yaitu KTT APEC ASEAN ASEAN",pasti kesiap bal presiden host jokowi amat lokasi   temu presiden agenda agenda rinci agenda   tutup tutup temu internasional k apec asean asean,positive
kompasiana,2023-09-18T00:07:27Z,Summit G20 Bali 2022 Momentum Emas Lewatkan Promosikan Tujuan Turis Tikus Tikus Indonesia,summit   bal     momentum emas lewat promosi tuju turis tikus tikus indonesia,neutral
DamaiSulbar,2023-09-12T23:17:04Z,Indonesia Bali KTT G20 DAMAI LAWANTERORISME TANGKALRADIKISME MERDEKA PANCASILILADA NKRIHARGAMATI Malaqbi Melletediangang Manakarra Sulbarinter Sulbarmoderate Polewalimar Majene MamuJu Mamjuuan Mamasa Pasangkaya Topoyo,indonesia bal k   damai lawanterorisme tangkalradikisme merdeka pancasililada nkrihargamati malaqbi melletediangang manakarra sulbarinter sulbarmoderate polewalimar majene mamuju mamjuuan mamasa pasangkaya topoyo,neutral
nkrijiwaraga,2023-09-13T03:07:25Z,"Mari Dukung Implementasi Sukses G20 Summit Bali, Sulawesi Utara, G20Indonesia RecoverTogerRecoversTronger G20Indonesia2022 Groupoftwentyindonesia sulawesiutara",mari dukung implementasi sukses   summit bal sulawesi utara   recovertogerrecoverstronger       groupoftwentyindonesia sulawesiutara,neutral
KompasOtomotif,2023-09-13T00:41:43Z,AHM Mempersiapkan 20 PCX Electric Unit G20 Summit Bali,ahm  pcx electric unit   summit bal,neutral
saudarabiru1,2023-09-13T00:31:57Z,Dukungan G20 Summit Bali Selatan Sumatra G20indonesia Recovertogetherrecoverstronger G20Indonesia2022 Groupoftwentyindonesia,dukung   summit bal selatan sumatra   recovertogetherrecoverstronger       groupoftwentyindonesia,neutral
BentangImaji,2023-09-15T08:29:56Z,"Pastikan Kesiapan Bali Presiden Host Langsung Meninjau Lokasi G20 Pertemuan Presiden Ingin Pastikan Agenda Rinci Pertemuan KTT G20 Agenda Tutup Rapat Internasional, yaitu KTT ASEAN APEC",pasti kesiap bal presiden host tinjau lokasi   temu presiden pasti agenda rinci temu k   agenda tutup rapat internasional k asean apec,positive
Johnss___,2023-09-16T01:42:36Z,Polisi Nasional Siap Aman Implementasi G20 Summit Bali Upaya,polisi nasional aman implementasi   summit bal upaya,positive
ispeidata,2023-09-16T16:45:44Z,Departemen KTT G20 Kementerian KTT Memperkuat Rabies Control Bali,departemen k   menteri k kuat rabies control bal,neutral
sherlynlyn_,2023-09-13T00:55:20Z,Budaya Indonesia Harus Disoroti KTT G20 Bali Sukses Aman G20indonesia Recovertogetherrecoverstronar G20Indonesia2022 Groupoftwentyindonesia,budaya indonesia sorot k   bal sukses aman   recovertogetherrecoverstronar       groupoftwentyindonesia,positive
wahananewsdotco,2023-09-15T22:39:00Z,"bmkg memasang gempa bumi gempa bumi menuju puncak G20, lokasi Bali kttg20",bmkg pasang gempa bumi gempa bumi puncak   lokasi bal  ,neutral
Deje_Vendra,2023-09-13T00:36:26Z,Membuka Konferensi WCCE WCCE Kreatif WCCE ke -3 Kamis 6 Oktober 2022 Presiden Jokowi Meninjau Infrastruktur Jalan Pembangunan Nusa Dua Area Badung Regency Bali Provinsi Lulus Para Pemimpin Dunia November KTT G20 November mendatang,buka konferensi wcce wcce kreatif wcce  kamis  oktober     presiden jokowi tinjau infrastruktur jalan bangun nusa area badung regency bal provinsi lulus pimpin dunia november k   november,positive
NAWACIT4,2023-09-13T01:51:08Z,Menkominfo 1 337 Jurnalis Terdaftar Sampul G20 Summit Bali,menkominfo     jurnalis daftar sampul   summit bal,neutral
Citralokadwipa,2023-09-13T01:33:01Z,Presiden Joko Widodo langsung mengamati lokasi pertemuan G20 memastikan kesiapan Bali Host Presiden juga ingin memastikan agenda agenda terperinci agenda g20 summit tutup ASEan summit apec indononeamju jokowi,presiden joko widodo amat lokasi temu   kesiap bal host presiden agenda agenda perinci agenda   summit tutup asean summit apec indononeamju jokowi,positive
KemensetnegRI,2023-09-16T06:43:11Z,4 Pertemuan juga membahas kesiapan Bali detail sumur sesi g20 KTT kemudian Indonesia berharap hasil keseluruhan diskusi g20 pemimpin dapat meringkas sederhana 34 paragraf, temu bahas kesiap bal detail sumur sesi   k indonesia harap hasil diskusi   pimpin ringkas sederhana  paragraf,neutral
brimobbanten,2023-09-18T06:19:17Z,DANSAT BANTEN POLISI Polisi Brigade Kombes Kombes Pol Adek Rojudin Kak H LED Kesiapan Apple Sumur Memeriksa Pasukan Membawa Keamanan G20 Summit Konferensi Tingkat Tinggi Bali Apple Diadakan Polisi Banten Mako Satbrimob Field Kamis 6 10 2022,dansat banten polisi polisi brigade kombes kombes pol adek rojudin kak led kesiap apple sumur periksa pasu bawa aman   summit konferensi tingkat bal apple ada polisi banten mako satbrimob field kamis      ,positive
CNNIndonesia,2023-09-13T07:37:13Z,Hyundai Electric Motor Memasukkan G20 Bali Summit,hyundai electric motor masuk   bal summit,neutral
tribunbalikanal,2023-09-15T18:20:31Z,Penerbangan reguler Bali memengaruhi pesawat Bandara Ngurah Rai Tampung VVIP G20 VVIP VIA,terbang reguler bal pengaruh pesawat bandara ngurah rai tampung vvip   vvip via,neutral
BesongSatu,2023-09-19T05:52:30Z,Ulasan Presiden Tahura Ngurah Rai Bali One Places Seri G20 Bali 2022 Tahura Ngurah Rai Summit Place Menampilkan Dunia Lingkungan Perhatian Indonesia,ulas presiden tahura ngurah rai bal one places seri   bal     tahura ngurah rai summit place tampil dunia lingkung perhati indonesia,neutral
KompasData,2023-09-16T10:12:35Z,Presiden Joko Widodo Meninjau Implementasi Persiapan G20 Bali KTT Menteri Kabinet Indonesia Juga Pertama Memantau Persiapan Persiapan 10 persen Adadikompas Polhuk,presiden joko widodo tinjau implementasi siap   bal k menteri kabinet indonesia pantau siap siap  persen adadikompas polhuk,positive
indo_pejuang,2023-09-17T01:20:17Z,Jaringan Telekomunikasi G20 Summit Bali disiapkan jambi g20indonesia recovertogetherrecoverstronger g20indonesia2022 groupoftwentyindonesia,jaring telekomunikasi   summit bal siap jambi   recovertogetherrecoverstronger       groupoftwentyindonesia,neutral
hariankompas,2023-09-21T12:26:21Z,Presiden Joko Widodo Meninjau Implementasi Persiapan G20 Bali KTT Menteri Kabinet Indonesia Juga Pertama Memantau Persiapan Persiapan 10 persen Adadikompas Polhuk,presiden joko widodo tinjau implementasi siap   bal k menteri kabinet indonesia pantau siap siap  persen adadikompas polhuk,positive
sherlynlyn_,2023-09-26T19:24:26Z,Semoga semakin meningkat produk lokal MLuku Summit G20 Bali Sukses Safe G20indonesia Recovertogetherrecoverstronar G20Indonesia2022 Groupoftwentyindonesia,moga tingkat produk lokal mluku summit   bal sukses safe   recovertogetherrecoverstronar       groupoftwentyindonesia,positive
SaniaPia,2023-09-13T15:01:33Z,Bali Ready Health Services Fasilitas KTT G20 Banten G20Indonesia Recovertogetherrecoverstronger G20Indonesia2022 Groupoftwentyindonesia,bal ready health services fasilitas k   banten   recovertogetherrecoverstronger       groupoftwentyindonesia,positive
tb_aank,2023-09-16T12:20:53Z,Berhasil KTT Menteri KTT Informasi Komunikasi Meningkatkan Kualitas Jaringan Telekomunikasi Pemerintah terus menyiapkan implementasi G20 Konferensi tingkat tinggi dilakukan Bali 15 November 2022,hasil k menteri k informasi komunikasi tingkat kualitas jaring telekomunikasi perintah implementasi   konferensi tingkat bal  november    ,positive
Elbarak_,2023-09-13T04:05:02Z,Mendukung Implementasi Keberhasilan G20 Summit Bali Kominfo Mendukung Telekomunikasi Infrastruktur Peningkatan Kecepatan Internet Seluler 4G Memfasilitasi Ekspansi Jaringan 5G,dukung implementasi hasil   summit bal kominfo dukung telekomunikasi infrastruktur tingkat cepat internet seluler tidak fasilitas ekspansi jaring tidak,positive
zahro1945,2023-09-13T00:48:49Z,Pemerintah Indonesia Memfokuskan Persiapan G20 Acara KTT Bali Economitap Memperkuat Mariberinvestadiindonesia,perintah indonesia fokus siap   acara k bal economitap kuat mariberinvestadiindonesia,neutral
Hutson93349947,2023-09-15T10:38:53Z,Pemerintah mengantisipasi gangguan telekomunikasi jaringan g20 summit bali berhasil,perintah antisipasi ganggu telekomunikasi jaring   summit bal hasil,neutral
100kpjcom,2023-09-15T08:18:32Z,KTT Konferensi Level Tinggi Bali G20 terjadi 15 November 16222 Nomor yang dicatat menyiapkan acara mobilitas kendaraan yang bertenaga listrik.,k konferensi level bal    november      nomor catat acara mobilitas kendara tenaga listrik,positive
NovitaZara1,2023-09-13T08:55:14Z,Bali Kompendium Membawa Indonesia G20 Summit November Seseorang memberikan Presiden G20 Indonesia Arsjad Rasjid B20 Arsjadrasjid Kompendiumbalibbalaborative,bal kompendium bawa indonesia   summit november presiden   indonesia arsjad rasjid   arsjadrasjid kompendiumbalibbalaborative,neutral
nawacitadotco,2023-09-17T00:51:42Z,Menkominfo 1 337 Jurnalis Terdaftar Sampul G20 Summit Bali,menkominfo     jurnalis daftar sampul   summit bal,neutral
rakyatnusantar4,2023-09-22T04:04:07Z,Peran Polisi Bali Hubungan Masyarakat Implementasi Informasi Tombak Presisi KTT G20,peran polisi bal hubung masayarakat implementasi informasi tombak presisi k  ,neutral
ahimcakep,2023-09-13T05:19:02Z,Meninjau Presiden Tahura Ngurah Rai menunjukkan lingkungan perhatian Indonesia meninjau nomor fasilitas kesiapan mendukung acara G20 Bali 2022.,tinjau presiden tahura ngurah rai lingkung perhati indonesia tinjau nomor fasilitas kesiap dukung acara   bal    ,neutral
hariankompas,2023-09-13T10:33:42Z,"Substansi Persiapan Teknis KTT G20, Lives Weeks, terus matang Presiden Pemerintah Jokowi Review Lokasi G20 Rapat Bali November 2022 Ekonomi Kompas",substansi siap teknis k   lives weeks matang presiden perintah jokowi review lokasi   rapat bal november     ekonomi kompas,neutral
IxNdheso,2023-09-16T01:36:39Z,"Presiden Jokowi Memimpin Pertemuan Finalisasi Persiapan G20 KTT Diadakan Pertemuan Puncak G20 Negara Bali November 2022, Mendekatkan Presiden Joko Widodo Kembalinya Kabinet Pertemuan Dewasa Berbagai Berbagai",presiden jokowi pimpin temu final siap   k ada temu puncak   negara bal november     dekat presiden joko widodo kembali kabinet temu dewasa,positive
M3juahjuah,2023-09-18T08:09:41Z,"Selain itu, pertemuan juga membahas kesiapan Bali detail sumur sesi waktu g20 puncak menurut Airlangg Indonesia berharap hasil keseluruhan diskusi g20 pemimpin dapat sederhana meringkas 34 paragraf",temu bahas kesiap bal detail sumur sesi   puncak airlangg indonesia harap hasil diskusi   pimpin sederhana ringkas  paragraf,neutral
ariefskie,2023-09-15T23:20:27Z,Mengadakan Pertemuan Puncak G20 Negara Bali November 2022 Mendekati Presiden Kabinet Pemimpin Kabinet Menyelesaikan Berbagai Persiapan G20 KTT Merdeka Palace Senin 3 Oktober 2022,ada temu puncak   negara bal november     dekat presiden kabinet pimpin kabinet selesai siap   k merdeka palace senin  oktober    ,neutral
