nomor,label,nama_akun,komentar,komentar_preprocessing
11,negative,Anies-Sandi,Yang potong payudara/susu jika #AniesSandi menang kira2 gmana ini hahah . Hitz skali wkwkwk pak @basuki_btp ?,potong payudara susu aniessandi menang kira hahah hitz skali wkwkwk basukibtp
12,positive,Anies-Sandi,Saya percaya usaha kita tak sia-sia. Teruslah mengemban amanat untuk Jakarta dan warganya. #PANbekerja #AmanatNasional #AniesSandi,percaya usaha sia sia terus emban amanat jakarta warga panbekerja amanatnasional aniessandi
13,negative,Ahok-Djarot,Rizieq minta pengikutnya untuk TERNAK AKUN disosmed. jadi jangan heran kalau akun twitter tiba2 diserbu PASUKAN CACI MAKI  <grining face with smile eye> <Face Screaming in Fear> <Face Screaming in Fear>,rizieq ikut ternak akun disosmed heran akun twitter tiba serbu pasu caci maki
14,positive,Ahok-Djarot,Kekalahan Basuki Tjahaja Purnama-Djarot Saiful Hidayat di Pilkada DKI Jakarta tidak mempengaruhi elektabilitas PDI <Victory Hand>,kalah basuki tjahaja purnama djarot saiful hidayat pilkada dki jakarta pengaruh elektabilitas pdi
15,positive,Ahok-Djarot,SALAM SUJUD DAN HORMAT SAYA PADA PAK DJAROT KHABARNYA PENANGGUHAN TAHANAN AHOK DI SETUJUIN DAN MALAM INI PAK AHOK PULANG,sujud hormat djarot khabar tangguh tahan ahok setujuin malam ahok pulang
16,negative,Ahok-Djarot,Tukang karangan bunga yang tidak pilih ahok apa masih terima orderan masa mau buatin bunga buat orang kapir #karanganbungaahok #AhokDjarot,tukang karang bunga pilih ahok terima order buatin bunga kapir karanganbungaahok ahokdjarot
17,negative,Anies-Sandi,Blunder sekali Pak @jokowi jika benar menteri dari PAN akan DITENDANG gara-gara dukung #AniesSandi & isu #AhokPenistaAgama masuk kabinet,blunder jokowi menteri pan tendang gara gara dukung aniessandi isu ahokpenistaagama kabinet
18,positive,Agus-Sylvi,Ada apa dengan #AHY knp disetiap acara nya massa membludak?Krn rakyat melihat harapan utk AHY memimpin negara ini dimasa yg dtg. #AHYforAll,ahy knp tiap acara massa membludak karena rakyat harap untuk ahy pimpin negara masa dtg ahyforall
19,negative,Ahok-Djarot,Sederhana aja kan? Ya orang yang mempertanyakan soal susah move on berarti cuma yang sok skeptis dan tim kontra Ahok #AhokDjarot,sederhana aja susah move on sok skeptis tim kontra ahok ahokdjarot
20,positive,Anies-Sandi,Setelah #AniesSandi menggulirkan ide rumah #DP0 jadi makin banyak orang membicarakan rumah murah. Itulah kekuatan gagasan seorang pemimpin !,aniessandi gulir ide rumah dp bicara rumah murah kuat gagas pimpin
21,positive,Agus-Sylvi,"Mengakui kekalahan, apapun itu tujuannya tapi great applause lah. Patut ditiru untuk demokrasi yang positif #AgusSilvy",aku kalah apa tuju great applause patut tiru demokrasi positif agussilvy
22,positive,Ahok-Djarot,"Mas @addiems , keren banget... Selamat berjuang, NKRI harga mati #SaveAhok #AhokDjarot #RIPJUSTICEINDONESIA",mas addiems keren banget selamat juang nkri harga mati saveahok ahokdjarot ripjusticeindonesia
23,negative,Ahok-Djarot,Yang menang pilkada itu #AniesSandi yg kebanjiran ucapan selamat dan karangan bunga #AhokDjarot - fenomena alam,menang pilkada aniessandi banjir ucap selamat karang bunga ahokdjarot fenomena alam
24,negative,Ahok-Djarot,"Ancam Polisikan, Sutradara Video Rasis Kampanye Ahok-Djarot Minta Bayaran Sesuai Kontrak https://goo.gl/lwg3Ai  #News #AhokDjarot",ancam polisi sutradara video ras kampanye ahok djarot bayar sesuai kontrak news ahokdjarot
25,positive,Anies-Sandi,Saran untuk #AniesSandi dalam mewujudkan program dana 1Milyar/RW dibutuhkan persetujuan DPRD @Kemendagri_RI dan @KPK_RI untuk cegah korupsi,saran aniessandi wujud program dana milyar rw butuh tuju dprd kemendagriri kpkri cegah korupsi
26,negative,Ahok-Djarot,"Lambang matinya akal waras di Indonesia, ketika fitnah mengendalikan kita #Ahok #ahoktumbang #pilkadajakarta #AhokDjarot",lambang mati akal waras indonesia fitnah kendali ahok ahoktumbang pilkadajakarta ahokdjarot
27,positive,Anies-Sandi,"#AniesSandi itu pemimpin yang akan berada ditengah,yang akan merangkul smua masyarakatnya,tanpa membedakan suku, agama,ras dan antargolongan",aniessandi pimpin tengah rangkul semua masyarakat beda suku agama ras antargolongan
28,negative,Ahok-Djarot,"Sedih, kehilangan sosok gubenur yang jujur dan pekerja keras untuk melayani warganya.@basuki_btp #pilkadadki2017 #AhokKalah",sedih hilang sosok gubenur jujur kerja keras layan warga basukibtp ahokkalah
29,negative,Agus-Sylvi,AHY dan Tim berjalan menjauh dari hiruk pikuk Pilkada. Melanjutkan perjalanan panjang politik mereka dengan rasa kecewa @panca66 @bambangelf,ahy tim jalan jauh hiruk pikuk pilkada lanjut jalan politik kecewa bambangelf
30,negative,Anies-Sandi,"Isis juga lagi proses hukum, terus knapa komentari <grining face> <grining face> <grining face> males betengkar sama anak TK gak ber bobot, asal ngeles #OkeOce <Person Raising Hand> <Face With Stuck-Out Tongue & Closed Eyes> <Person Running> <Person Running> <Person Running>",isis proses hukum knapa komentar males betengkar anak tk gak ber bobot ngeles okeoce
31,positive,Agus-Sylvi,"[HEBOH] Pentolan band Coldplay asal Inggris, Chris Martin, memberikan dukungan pada pasangan Agus-Sylvi #AHY di Pilkada Jakarta 2017.",heboh pentol band coldplay inggris chris martin dukung pasang agus sylvi ahy pilkada jakarta
32,negative,Ahok-Djarot,"Gak murah nih ! , jika Ahok bukan Gubenur kesayangan warga Jakarta, emang siapa mau buang2 duit untuk beginian? #AhokDjarot",gak murah ahok gubenur sayang warga jakarta emang buang duit ahokdjarot
33,negative,Agus-Sylvi,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,fpi tidak suka ama ahok pas ahy sudah kalah otomatis dukung lari mas anisa aniessandi
34,positive,Agus-Sylvi,"Terima kasih mas @AgusYudhoyono, karenamu anak muda telah berani menyuarakan perubahan. Kami tetap bersamamu #YNWA",terima kasih mas agusyudhoyono karena anak muda berani suara ubah sama ynwa
35,negative,Ahok-Djarot,"Kampanyenya ngomong program ini program itu, jadi mentri aja dipecat <FACE WITH TEARS OF JOY> mending liat yang udah ada hasil kerja ada deh #AhokDjarot",kampanye ngomong program program tri aja pecat mending liat sudah hasil deh ahokdjarot
36,positive,Ahok-Djarot,"Tuhan sayang Jakarta & AhokDjarot karena AhokDjarot kalah saja mereka masih marah, AhokDjarot menang apa yg terjadi di Jakarta terima kasih.",tuhan sayang jakarta ahokdjarot ahokdjarot kalah marah ahokdjarot menang jakarta terima kasih
37,negative,Anies-Sandi,"Kalian dijanjikan ini itu sama calon gubenur baru. jangan lupa tagih janjinya, Jakarta butuh kerja nyata bukan sekedar janji #pilkada",janji calon gubenur lupa tagih janji jakarta butuh dar janji pilkada
38,positive,Agus-Sylvi,"Jadi, tolong hargai sikap saya dan beberapa pendukung AHY yang memilih bersikap netral di putaran kedua Pilkada DKI 2017 ini.",tolong harga sikap dukung ahy pilih sikap netral putar pilkada dki
39,negative,Anies-Sandi,Takut kalah jadi buruan bagi-bagi sembako. Kayanya lebih cocok jadi pegawai bulog kaleee. Colek @kpu_dki @KPU_RI @jokowi #PilkadaDKI2017,takut kalah buru sembako kaya cocok pegawai bulog kaleee colek kpudki kpuri jokowi
40,positive,Agus-Sylvi,Gunawan dan Freely anggota DPRD Talaud ini mau pasang spanduk AHY di perbtasan Indonesia-Filipina. Lanjutkan,gunawan freely anggota dprd talaud pasang spanduk ahy perbtasan indonesia filipina lanjut
41,negative,Anies-Sandi,"Cagub kerja vs cagub wacana, cagub fakta vs cagub dusta #tetapahok #salambersama #okeoce #BeragamItuBasukiDjarot #kampanyeahokjahat",cagub vs cagub wacana cagub fakta vs cagub dusta tetapahok salambersama okeoce beragamitubasukidjarot kampanyeahokjahat
42,positive,Anies-Sandi,"Kemenangan #AniesSandi di #PilkadaDKI putaran ke 2 bukan kemenangan sekelompok orang,tetapi kemenangan seluruh warga DKI rakyat Indonesia.",menang aniessandi pilkadadki putar menang kelompok menang warga dki rakyat indonesia
43,negative,Agus-Sylvi,"Sah-sah aja, Justru itu menjadi tolak ukur kedewasaan warga dki, kalo AHY menang artinya pola pikir warga masih primitif.. #PolitikUangAHY",sah sah aja tolak ukur dewasa warga dki ahy menang pola pikir warga primitif politikuangahy
44,negative,Agus-Sylvi,Antasari Diancam Harry Tanoe https://youtu.be/9KbbpAjibTc  #Antasari #ahok #Sby #AHY #berita #MetroTV #Indonesia #JumatBerkah #KimJongNam,antasari ancam harry tanoe antasari ahok sby ahy berita metrotv indonesia jumatberkah kimjongnam
45,negative,Agus-Sylvi,"kering sudah darah @ahy saatnya menghisap darah @anisandi mumpung stok darahnya bergudang-gudang, darah hantu diminum setan #pilkadadki",kering darah ahy menghisap darah anisandi mumpung stok darah gudang gudang darah hantu minum setan pilkadadki
46,negative,Agus-Sylvi,"Enam bulan kampanye pilkada di kubu AHY, pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri",enam kampanye pilkada kubu ahy dukung ahok sibuk serang program ahy kampanye program ahok
47,negative,Agus-Sylvi,Jangan sampai SBY berkata AHY kalah gara-gara Antasari ya? Survey kan sudah menunjukan AHY terus merosot elektabilitasnya #PilkadaDKI,sby ahy kalah gara gara antasari survey tunjuk ahy merosot elektabilitas pilkadadki
48,negative,Ahok-Djarot,"Karangan bunga yang dikarang-karang untuk #AhokDjarot, sungguh kegilaan pasca kegilaan tuntutan JPU kasus #AhokPenistaAgama",karang bunga karang karang ahokdjarot sungguh gila pasca gila tuntut jpu ahokpenistaagama
49,negative,Agus-Sylvi,"#AHY-Sylvi, Anies-Sandiaga, Basuki-Djarot, Debat Pilkada DKI 2017, Jangan Jual Mimpi Demi Jadi Gubernur...",ahy sylvi anies sandiaga basuki djarot debat pilkada dki jual mimpi gubernur
50,negative,Ahok-Djarot,@aniesbaswedan kemarin bilang tidak setuju syariah . lah ini apa ?? #indonesia #badja @nu_online #ahokdjarot #pilkadaDKI @MataNajwa,aniesbaswedan kemarin bilang tuju syariah indonesia badja nuonline ahokdjarot pilkadadki matanajwa
51,negative,Ahok-Djarot,Kubu BaDja Sindir Anies Soal Spanduk Jakarta Bersyariah - #PilkadaDki2017 #Ahok-Djarot #AniesBaswedan #Ahok #Jakarta,kubu badja sindir anies spanduk jakarta bersyariah ahok djarot aniesbaswedan ahok jakarta
52,negative,Anies-Sandi,cara kampanye #Anies membuat Menteri agama mengeluarkan peraturan larangan kampanye di rumah ibadah. sdh jelas #AniesSandi menang karna SARA,kampanye anies menteri agama keluar atur larang kampanye rumah ibadah sudah aniessandi menang karena sara
53,positive,Anies-Sandi,"Doain daerah sendiri dulu aja, GUB nya bagaimana <FOLDED HANDS> Aa Gym Kritik Syukuran Anies-Sandi Usai Menang di Pilkada DKI https://today.line.me/",doain daerah aja gub aa gym kritik syukur anies sandi menang pilkada dki
54,negative,Agus-Sylvi,"#AHY,Cuitan Hati SBY,Cuitan SBY, jokowi, mantan, mantan terindah,Pilgub DKI 2017  <Tongue> <Tongue>",ahy cuit hati sby cuit sby jokowi mantan mantan indah pilgub dki
55,positive,Anies-Sandi,#AhokDjarot yang menerapkan Open Government & Good Governance dengan triple pasword untuk APBD DKI membantu #AniesSandi merealisasi program!,ahokdjarot terap open government good governance triple pasword apbd dki bantu aniessandi realisasi program
56,negative,Ahok-Djarot,"Mental Tempe jadi benci Hukum Indonesa, mental BadJa terus berjuang. #indonesia #indonesiasatu #pancasila #AhokDjarot #AhokIsHope #Ahok",mental tempe benci hukum indonesa mental badja juang indonesia indonesiasatu pancasila ahokdjarot ahokishope ahok
57,positive,Ahok-Djarot,Perbedaan mana yang kerja keras dan mana yang suka cari muka ! #Ahok #AhokDjarot #freeahok #AhokIsHope #RIPJUSTICEINDONESIA #riphukum,beda keras suka cari muka ahok ahokdjarot freeahok ahokishope ripjusticeindonesia riphukum
58,positive,Anies-Sandi,Kemenangan sesungguhnya KEADILAN HUKUM dan KEADILAN SOSIAL yang Timpang dirasakan Rakyat. #AniesSandi #AniesSandiDKI1,menang sungguh adil hukum adil sosial timpang rasa rakyat aniessandi aniessandidki
59,positive,Agus-Sylvi,Sebagian kecil pendukung #AHY ada yg dukung Ahok. Basis massa mayoritas kemungkinan lebih pilih Anies. Kunci kemenangan tipis bagi Anies.,dukung ahy dukung ahok basis massa mayoritas pilih anies kunci menang tipis anies
60,negative,Agus-Sylvi,"Kasian benar nasib AHY, karir tinggi di TNI harus tamat karena nafsu pepo. Selanjutnya paling cepat ikut parpol kalau tidak begitu dagang ak",kasi nasib ahy karir tinggi tni tamat nafsu pepo cepat parpol dagang ak
61,negative,Ahok-Djarot,"Sembako Murah Ala Timses Ahok-Djarot Langgar UU Pemilu http://m.viva.co.id  Suap suara model begini, menghina kecerdasan warga..",sembako murah ala timses ahok djarot langgar uu milu suap suara model hina cerdas warga
62,positive,Ahok-Djarot,Karangan bunga dan antrian foto bersama.... Il phenomenon baru kayaknya untuk seorg figur di indonesia #AhokDjarot,karang bunga antri foto il phenomenon kayak seorg figur indonesia ahokdjarot
63,positive,Agus-Sylvi,"Bismillah, semoga esok Hari Jakarta memiliki pemimpin yang sesuai tuntunan AlQuran, diridhai Alloh swt",bismillah moga esok jakarta milik pimpin sesuai tuntun alquran diridhai alloh swt
64,positive,Ahok-Djarot,"Pemenang sejati adalah pemenang hati Rakyat. Udah kalah masih bisa datangkan rejeki buat tukang bunga,Pak #AhokDjarot #AhokDicintaiRakyat",menang sejati menang hati rakyat sudah kalah datang rejeki tukang bunga ahokdjarot ahokdicintairakyat
65,negative,Agus-Sylvi,"Pada Pilkada DKI, AHY dan SBY jadi target hoax dan fitnah yang dilakukan akun-akun pendukung Ahok.",pilkada dki ahy sby target hoax fitnah akun akun dukung ahok
66,positive,Anies-Sandi,Saran untuk #AniesSandi agar Reklamasi dpt dibatalkan agar dibicarakan dengan Pemerintah Pusat @KSPgoid @kemaritiman @kkpgoid @KejaksaanRI,saran aniessandi reklamasi dpt batal bicara perintah pusat kspgoid maritim kkpgoid kejaksaanri
67,negative,Anies-Sandi,"Daftar rumah baru di jakarta yang DP nya 0-Rp Kalau gak terealisasi, kau tanggung janji kau di akhirat nanti,,, #pilkadaDKI2017 #pathdaily",daftar rumah jakarta dp rp gak realisasi kau tanggung janji kau akhirat pathdaily
68,negative,Ahok-Djarot,Ha-ha-ha. sUdah tidak adil nih bangsa. Kalian masih mau milih no 2? Cina? Hah? <Speak-No-Evil> #AkuCoblosAniesSandi #PilkadaDKI #pilkadadki2017,ha ha ha adil bangsa milih no cina hah akucoblosaniessandi pilkadadki
69,positive,Anies-Sandi,Selamat @aniesbaswedan @sandiuno @prabowo @Fahrihamzah @fadlizon @HABIBRIZIEQFPI Atas kemenangan #pilkadaDki2017 semoga bs lebih maju DKI,selamat aniesbaswedan sandiuno prabowo fahrihamzah fadlizon habibrizieqfpi menang moga maju dki
70,positive,Ahok-Djarot,Apa pendapat anda tentang pak ahok? â€” Pemimpin hebat yang Tuhan utus utk Indonesia #gueahok #ahokdjarot #saveahok http://l.ask.fm/igoto,dapat ahok pimpin hebat tuhan utus untuk indonesia gueahok ahokdjarot saveahok
71,negative,Agus-Sylvi,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun kloning seolah dukung agussilvy serang paslon aniessandi opini argumen pmbenaran kecoh
72,negative,Agus-Sylvi,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasi oh kasi peluru milyar rw agussilvy mempan menangin pilkada quickcount
73,positive,Agus-Sylvi,Semoga pemilih #AHY di putaran 1 di Kebon Kacang dan Kp. Bali beralih ke Anies-Sandi. #JakartaCoblos3,moga pilih ahy putar kebon kacang kp bal alih anies sandi jakartacoblos
74,negative,Agus-Sylvi,AHY kalah.. Sisi negatif: Umat Islam tertunda dalam menempatkan pemimpin. Sisi positif: Umat Islam terhindar dari saling hujat & buka aib.,ahy kalah sisi negatif umat islam tunda tempat pimpin sisi positif umat islam hindar hujat buka aib
75,negative,Ahok-Djarot,DEDDY CORBUZIER SINDIR KARANGAN BUNGA AHOK. #indoharian #ahok #djarot #ahokdjarot #karanganbunga #DKI #Jakarta #DKIJakarta #memepolitik,deddy corbuzier sindir karang bunga ahok indoharian ahok djarot ahokdjarot karanganbunga dki jakarta dkijakarta politik
76,positive,Anies-Sandi,"macem2 ya keramaian pilkada dki. ada yang potong nenen, ada yang jago ngeles karena ramalan. anyway Selamat pak Anies-Sandi #pilkadadki2017",macem ramai pilkada dki potong nenen jago ngeles ramal anyway selamat anies sandi
77,positive,Ahok-Djarot,"Kekalahan Ahok ini disengaja, biar bisa sepaket dengan AHY pada Pilpres nanti <FACE WITH STUCK-OUT TOUNGES> <grining face with smile eye> <grining face with smile eye> <Smiling Face With Sunglasses> <Smiling Face With Sunglasses> #PilkadaDKI. #Ahokers jangan risau hahahahahaha",kalah ahok sengaja biar paket ahy pilpres pilkadadki ahokers risau hahahahahaha
78,negative,Anies-Sandi,Saran untuk #AniesSandi merealisir Transportasi terintegrasi Tiket Rp.5000 seyogianya dibicarakan dengan @PT_TransJakarta & ORGANDA & MTI,saran aniessandi merealisir transportasi integrasi tiket rp yogia bicara pttransjakarta organda mti
79,negative,Anies-Sandi,sedikit pun kami tidak pernah #AniesSandi menjanjikan rumah DP 0% itu berbentuk #Rusun yang kami tau rumah berbentuk horisontal #SaveDP0%,aniessandi janji rumah dp bentuk rusun tau rumah bentuk horisontal savedp
80,negative,Ahok-Djarot,Buahahahhaha!! Emang siapa yang merayakan? Bisa gak pendukungmu merayakan tanpa di bayar? #AhokDicintaiRakyat #AhokDjarot #Ahok @detikcom,buahahahhaha emang raya gak dukung raya bayar ahokdicintairakyat ahokdjarot ahok detikcom
81,negative,Agus-Sylvi,"lini pertahanan AHY rapuh debat efek, aksi 112 efek dan Antasari efek #pilkadaDKI",lini tahan ahy rapuh debat efek aksi efek antasari efek pilkadadki
82,positive,Agus-Sylvi,"Salam kagum buat AHY. Masih muda, berani pensiun dini, berani menantang ahok di pilkada, disaat semua pada takut, termasuk @ridwankamil",kagum ahy muda berani pensiun berani tantang ahok pilkada saat takut ridwankamil
83,positive,Ahok-Djarot,#JakartaBersuriah ala ustad cang haris.. pilih #AhokDjarot <Victory Hand> jangan lupa No. 2 pilih yang islami asli berakhlaq dan sudah haji.. Haji Djarot,jakartabersuriah ala ustad cang haris pilih ahokdjarot lupa no pilih islami asli berakhlaq haji haji djarot
84,positive,Ahok-Djarot,1000 lilin untuk Ahok dari Manado @ManadoKota @temanAhok @basuki_btp @digembok #AhokDjarot #RipJustice #RIPHukum #Manado #saveNKRI,lilin ahok manado manadokota temanahok basukibtp gembok ahokdjarot ripjustice riphukum manado savenkri
85,negative,Agus-Sylvi,Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq,laku kirim sms gelap antasari azhar indonesia sby ahy anies ahok berita jumatberkah rizieq
86,positive,Anies-Sandi,"Macam-macam ya keramaian pilkada dki. ada yang potong nenen ,yang jago ngeles karena ramalan. Selamat pak Anies-Sandi #pilkadadki2017",ramai pilkada dki potong nenen jago ngeles ramal selamat anies sandi
87,negative,Anies-Sandi,"Yang lucunya di Pilkada DKI adalah Ahok-Djarot yang kalah, justru mendapatkan Simpati dari Masyarakat dibandingkan kemenangan Anies-Sandi",lucu pilkada dki ahok djarot kalah simpati masyarakat banding menang anies sandi
88,negative,Agus-Sylvi,"AHY masih mentah tapi mau dikarbit demokrat, melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja",ahy mentah dikarbit demokrat pilkada dki menang milu pakai sentimen sara
89,positive,Ahok-Djarot,KARANGAN BUNGA ucapan TERIMAKASIH masyarakat ke Pak @basuki_btp & Pak @AhokDjarot sampai Monas #karanganbungaahok #telkomsel #AhokDjarot ,karang bunga ucap terimakasih masyarakat basukibtp ahokdjarot monas karanganbungaahok telkomsel ahokdjarot
90,negative,Agus-Sylvi,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",om aa mana lepas ahy kalah tutup mulut koar bongkar sby
91,negative,Ahok-Djarot,Kuota @aagym lagi habis makanya tidak mengikuti berita @Warta_MUI @mata #indonesia #pilkadaDKI #AniesSandi #voteahok #ahokdjarot,kuota aagym habis ikut berita wartamui indonesia pilkadadki aniessandi voteahok ahokdjarot
92,negative,Agus-Sylvi,Suara Warga Cuma Dihargai SEMBAKO TOLAK AHY Sudah melakukan penyuapan kepada warga @Abaaah @MurtadhaOne @RinjaniJB @fariz1234 @ananghijau,suara warga harga sembako tolak ahy suap warga abaaah murtadhaone rinjanijb ananghijau
93,positive,Ahok-Djarot,Jerih lelahmu memperjuangkan bangsa ini dari korupsi dan menegakkan kebenaran diperhitungkan oleh Tuhan pak. GBU #Ahok #AhokDjarot #freeahok,jerih lelah juang bangsa korupsi tegak benar hitung tuhan gbu ahok ahokdjarot freeahok
94,negative,Anies-Sandi,Kasihan katanya anti reklamasi tapi kok diteruskan? Ayo dapat berapa uang bapak2 gub & wagub baru jkt? #aniessandi #bullshit #freak,kasihan anti reklamasi terus ayo uang bapak gub wagub jkt aniessandi bullshit freak
95,positive,Ahok-Djarot,"Meski Saya warga Sultra, tetapi Saya dukung Ahok Djarot Untuk Gub.DKI Jakarta #pilkadadki2017 #pilkadajakarta #ahokmenang #ahok",warga sultra dukung ahok djarot gub dki jakarta pilkadajakarta ahokmenang ahok
96,positive,Agus-Sylvi,"LSI telah membuktikan kejujuran surveynya pada pilkada DKI tahap1- ahokdjarot disurvey langsung kalah dan Ahy menang 1 putaran,",lsi bukti jujur survey pilkada dki tahap ahokdjarot disurvey kalah ahy menang putar
97,negative,Ahok-Djarot,"#AhokDjarot unggul dalam memainkan isu dan strategi. Apalagi dalam isu sara, serta matang dalam mengelola Strategi Musuh.  <FACE WITH STUCK-OUT TOUNGES>",ahokdjarot unggul main isu strategi isu sara matang kelola strategi musuh
98,negative,Ahok-Djarot,"Kasih Iming-iming KJL kepada Orangtua, Ahok-Djarot Diminta Jangan Menipu Lansia https://goo.gl/L2e0Wn  #News #AhokDjarot",kasih iming iming kjl orangtua ahok djarot tipu lansia news ahokdjarot
99,positive,Anies-Sandi,@temanAhok @sahaL_AS @GunRomli @addiems Karangan bunga kematian karena #AhokTumbang kekuasaannya&akan segera BERAKHIR. WELCOME #AniesSandi,temanahok sahalas gunromli addiems karang bunga mati ahoktumbang kuasa welcome aniessandi
100,negative,Anies-Sandi,kelakuan busuk lalu beri alasan busuk. sekarang lempar tai sembunyi tangan lalu nunjuk yang lain. MEMALUKAN klakuan pendukung #AniesSandi,laku busuk alas busuk lempar tai sembunyi tangan nunjuk malu klakuan dukung aniessandi
101,positive,Agus-Sylvi,Salut! @AgusYudhoyono & Mpok Silvy dengan mengakui kemenangan Paslon lain. #agussilvy #Salam2Jari #KitaNKRI #TetapSemangat #PilkadaDKI,salut agusyudhoyono mpok silvy aku menang paslon agussilvy kitankri tetapsemangat pilkadadki
102,negative,Anies-Sandi,Kuota @aagym lagi abis makanya tidak mengikuti berita @Warta_MUI @mata #indonesia #pilkadaDKI #AniesSandi #voteahok #ahokdjarot,kuota aagym abis ikut berita wartamui indonesia pilkadadki aniessandi voteahok ahokdjarot
103,positive,Agus-Sylvi,semoga Anies menang pilkada dan AHY jadi presiden Indonesia 2019 Aamiin YRA klop dah!@AgusYudhoyono,moga anies menang pilkada ahy presiden indonesia aamiin yra klop agusyudhoyono
104,negative,Agus-Sylvi,Buat pendukung #AHY mari rapatkan barisan ke paslon #3 Buang issu miring paslon #3 Masih mau dipimpin seorang TERDAKWA? SIMULUT EMBER????,dukung ahy mari rapat baris paslon buang issu miring paslon pimpin dakwa simulut ember
105,positive,Ahok-Djarot,"Walaupun banyak cobaan yang menimpa pak ahok, mundur 1 langkah maju 1000 langkah untuk menjadikan jakarta lebih maju lagi <Trophy> #ahokdjarot",coba timpa ahok mundur langkah maju langkah jadi jakarta maju ahokdjarot
106,negative,Agus-Sylvi,"AHY siap siap jadi vocalis BAND rock yaaaa, lompat lompat mulu bang kerjaannya #PilkadaDKI #QuickCount",ahy vocalis band rock yaaaa lompat lompat mulu bang kerja pilkadadki quickcount
107,negative,Ahok-Djarot,Kalo bete ama M Taufik boleh pilih #AhokDjarot nggak kak? Soooo PASTIIII !!! <Face With Steam From Nose> <Face With Steam From Nose> <FACE WITH TEARS OF JOY> <Smiling Face With Open Mouth & Smiling Eyes> <FACE WITH TEARS OF JOY> <grining face with smile eye> <Victory Hand> #JanganTakutPilih2 #PilihBaDja,bete ama taufik pilih ahokdjarot nggak kak soooo pastiiii jangantakutpilih pilihbadja
